composer,title,split,performer,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,disklavier,0.3064,0.0695,0.3088,0.3064,0.0695,0.3088
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,disklavier,0.5438,0.367,0.4519,0.2771,0.0687,0.3153
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,disklavier,0.0684,-0.0029,0.1026,0.0684,-0.0029,0.1026
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,maestro,0.8519,0.8508,0.66,0.4614,0.6158,0.5525
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,maestro,0.2659,0.3901,0.3031,0.2659,0.3901,0.3031
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,maestro,0.2584,0.285,0.348,0.2584,0.285,0.348
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,disklavier,0.2628,0.1001,0.2276,0.2628,0.1001,0.2276
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,disklavier,0.1292,0.0223,0.0332,0.1292,0.0223,0.0332
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,disklavier,0.5604,0.4022,0.3001,0.3216,0.0989,0.2258
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,maestro,0.2415,0.2583,0.4827,0.2415,0.2583,0.4827
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,maestro,0.2539,0.2208,0.3393,0.2539,0.2208,0.3393
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,maestro,0.8798,0.8694,0.6988,0.4489,0.5444,0.6215
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,disklavier,0.6544,0.429,0.2831,0.287,0.0787,0.2429
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,disklavier,0.2491,0.0643,0.2041,0.2491,0.0643,0.2041
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,disklavier,0.1022,0.0017,0.0537,0.1022,0.0017,0.0537
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,maestro,0.8962,0.7034,0.7764,0.5469,0.5115,0.67
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,maestro,0.3898,0.2176,0.4108,0.3898,0.2176,0.4108
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,maestro,0.1886,0.3786,0.2101,0.1886,0.3786,0.2101
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,disklavier,0.1539,0.0463,0.1115,0.1539,0.0463,0.1115
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,disklavier,0.5862,0.317,0.2964,0.2838,0.1137,0.1598
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,disklavier,0.2482,0.0776,0.1831,0.2482,0.0776,0.1831
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,maestro,0.2841,0.3107,0.3793,0.2841,0.3107,0.3793
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,maestro,0.9022,0.8012,0.7481,0.5357,0.6093,0.6434
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,maestro,0.3648,0.2256,0.6216,0.3648,0.2256,0.6216
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,disklavier,0.2212,0.0485,0.2074,0.2212,0.0485,0.2074
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,disklavier,0.4806,0.2719,0.2806,0.2836,0.0912,0.2128
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,disklavier,0.0999,0.0326,0.0649,0.0999,0.0326,0.0649
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,maestro,0.8327,0.8431,0.8643,0.6361,0.7872,0.6437
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,maestro,0.4341,0.268,0.4057,0.4341,0.268,0.4057
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,maestro,0.3193,0.6623,0.3056,0.3193,0.6623,0.3056
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,disklavier,0.15,0.0053,0.0975,0.15,0.0053,0.0975
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,disklavier,0.2792,0.0937,0.2798,0.2792,0.0937,0.2798
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,disklavier,0.4889,0.1623,0.4899,0.3179,0.0655,0.2813
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,maestro,0.1532,0.3836,0.2051,0.1532,0.3836,0.2051
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,maestro,0.2246,0.2065,0.4198,0.2246,0.2065,0.4198
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,maestro,0.8785,0.8465,0.7055,0.4881,0.6724,0.6889
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,disklavier,0.3416,0.138,0.1104,0.1771,0.0513,0.1021
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,disklavier,0.1487,0.0702,0.1535,0.1487,0.0702,0.1535
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,disklavier,0.0142,-0.0181,0.0121,0.0142,-0.0181,0.0121
Chopin,Scherzos_31,train,ChenW04M,kong,maestro,0.7908,0.6064,0.8166,0.6264,0.5295,0.6629
Chopin,Scherzos_31,train,ChenW04M,oaf,maestro,0.4309,0.2552,0.4343,0.4309,0.2552,0.4343
Chopin,Scherzos_31,train,ChenW04M,T5,maestro,0.4445,0.141,0.4778,0.4445,0.141,0.4778
Chopin,Scherzos_31,train,ChenW04M,oaf,disklavier,0.1703,0.0909,0.2202,0.1703,0.0909,0.2202
Chopin,Scherzos_31,train,ChenW04M,T5,disklavier,0.1069,0.0102,0.0512,0.1069,0.0102,0.0512
Chopin,Scherzos_31,train,ChenW04M,kong,disklavier,0.3836,0.1475,0.3696,0.1693,0.1038,0.1479
Chopin,Scherzos_31,train,HuNY08M,oaf,maestro,0.3604,0.2529,0.3929,0.3604,0.2529,0.3929
Chopin,Scherzos_31,train,HuNY08M,kong,maestro,0.6577,0.7761,0.626,0.5618,0.7436,0.542
Chopin,Scherzos_31,train,HuNY08M,T5,maestro,0.265,0.1725,0.2662,0.265,0.1725,0.2662
Chopin,Scherzos_31,train,HuNY08M,T5,disklavier,0.0239,0.0127,0.0276,0.0239,0.0127,0.0276
Chopin,Scherzos_31,train,HuNY08M,kong,disklavier,0.2235,0.0782,0.2609,0.1387,0.0677,0.1497
Chopin,Scherzos_31,train,HuNY08M,oaf,disklavier,0.132,0.0615,0.1446,0.132,0.0615,0.1446
Chopin,Scherzos_31,train,Jussow11M,kong,maestro,0.7168,0.5643,0.748,0.5593,0.367,0.6427
Chopin,Scherzos_31,train,Jussow11M,oaf,maestro,0.4859,0.2963,0.5184,0.4859,0.2963,0.5184
Chopin,Scherzos_31,train,Jussow11M,T5,maestro,0.368,0.2673,0.377,0.368,0.2673,0.377
Chopin,Scherzos_31,train,Jussow11M,kong,disklavier,0.2394,0.1956,0.2182,0.1368,0.0917,0.1345
Chopin,Scherzos_31,train,Jussow11M,T5,disklavier,0.047,0.02,0.0362,0.047,0.02,0.0362
Chopin,Scherzos_31,train,Jussow11M,oaf,disklavier,0.1227,0.072,0.1273,0.1227,0.072,0.1273
Chopin,Scherzos_31,train,LeeN04M,T5,maestro,0.4617,0.2069,0.3674,0.4617,0.2069,0.3674
Chopin,Scherzos_31,train,LeeN04M,oaf,maestro,0.4472,0.1864,0.4558,0.4472,0.1864,0.4558
Chopin,Scherzos_31,train,LeeN04M,kong,maestro,0.8218,0.6623,0.7454,0.6361,0.5466,0.5606
Chopin,Scherzos_31,train,LeeN04M,T5,disklavier,0.1266,0.1284,0.0751,0.1266,0.1284,0.0751
Chopin,Scherzos_31,train,LeeN04M,kong,disklavier,0.4041,0.1567,0.345,0.2212,0.0815,0.1681
Chopin,Scherzos_31,train,LeeN04M,oaf,disklavier,0.1779,0.0404,0.1691,0.1779,0.0404,0.1691
Chopin,Scherzos_31,train,LinTami06M,T5,maestro,0.4296,0.1607,0.366,0.4296,0.1607,0.366
Chopin,Scherzos_31,train,LinTami06M,oaf,maestro,0.4975,0.1607,0.3545,0.4975,0.1607,0.3545
Chopin,Scherzos_31,train,LinTami06M,kong,maestro,0.7202,0.5189,0.6974,0.5513,0.4699,0.5448
Chopin,Scherzos_31,train,LinTami06M,kong,disklavier,0.3609,0.1475,0.3273,0.22,0.1307,0.2108
Chopin,Scherzos_31,train,LinTami06M,oaf,disklavier,0.1835,0.0833,0.1751,0.1835,0.0833,0.1751
Chopin,Scherzos_31,train,LinTami06M,T5,disklavier,0.1287,-0.0008,0.1072,0.1287,-0.0008,0.1072
Chopin,Scherzos_31,train,LuoJ12M,oaf,maestro,0.384,0.1046,0.3231,0.384,0.1046,0.3231
Chopin,Scherzos_31,train,LuoJ12M,kong,maestro,0.7955,0.6467,0.8079,0.6525,0.4232,0.6201
Chopin,Scherzos_31,train,LuoJ12M,T5,maestro,0.3188,0.1583,0.3039,0.3188,0.1583,0.3039
Chopin,Scherzos_31,train,LuoJ12M,oaf,disklavier,0.2645,0.1431,0.2172,0.2645,0.1431,0.2172
Chopin,Scherzos_31,train,LuoJ12M,kong,disklavier,0.441,0.3364,0.3941,0.2884,0.193,0.2125
Chopin,Scherzos_31,train,LuoJ12M,T5,disklavier,0.1382,0.0551,0.1012,0.1382,0.0551,0.1012
Chopin,Scherzos_31,train,SunD04M,kong,maestro,0.6653,0.6906,0.5705,0.5709,0.5761,0.4666
Chopin,Scherzos_31,train,SunD04M,oaf,maestro,0.496,0.2718,0.4276,0.496,0.2718,0.4276
Chopin,Scherzos_31,train,SunD04M,T5,maestro,0.422,0.13,0.3346,0.422,0.13,0.3346
Chopin,Scherzos_31,train,SunD04M,T5,disklavier,0.1898,-0.0053,0.0575,0.1898,-0.0053,0.0575
Chopin,Scherzos_31,train,SunD04M,oaf,disklavier,0.1454,0.047,0.1489,0.1454,0.047,0.1489
Chopin,Scherzos_31,train,SunD04M,kong,disklavier,0.2433,0.1717,0.2244,0.1345,0.091,0.0643
Chopin,Scherzos_31,train,TongB04M,oaf,maestro,0.5371,0.3157,0.5562,0.5371,0.3157,0.5562
Chopin,Scherzos_31,train,TongB04M,kong,maestro,0.8207,0.7138,0.8162,0.6756,0.6128,0.6491
Chopin,Scherzos_31,train,TongB04M,T5,maestro,0.2327,0.1883,0.2143,0.2327,0.1883,0.2143
Chopin,Scherzos_31,train,TongB04M,T5,disklavier,0.0255,-0.0033,0.0161,0.0255,-0.0033,0.0161
Chopin,Scherzos_31,train,TongB04M,kong,disklavier,0.3377,0.2395,0.2939,0.1851,0.0949,0.1296
Chopin,Scherzos_31,train,TongB04M,oaf,disklavier,0.1482,0.0519,0.1631,0.1482,0.0519,0.1631
Chopin,Scherzos_31,train,TuanS05M,T5,maestro,0.4067,0.124,0.3506,0.4067,0.124,0.3506
Chopin,Scherzos_31,train,TuanS05M,oaf,maestro,0.4281,0.1162,0.4313,0.4281,0.1162,0.4313
Chopin,Scherzos_31,train,TuanS05M,kong,maestro,0.7417,0.649,0.6638,0.5829,0.5163,0.5307
Chopin,Scherzos_31,train,TuanS05M,kong,disklavier,0.3809,0.22,0.3137,0.2719,0.0827,0.1845
Chopin,Scherzos_31,train,TuanS05M,T5,disklavier,0.1335,0.0201,0.1146,0.1335,0.0201,0.1146
Chopin,Scherzos_31,train,TuanS05M,oaf,disklavier,0.2015,0.0756,0.1869,0.2015,0.0756,0.1869
Chopin,Scherzos_31,train,ZhangW04M,oaf,maestro,0.4077,0.3474,0.434,0.4077,0.3474,0.434
Chopin,Scherzos_31,train,ZhangW04M,kong,maestro,0.6446,0.6028,0.6935,0.5582,0.5608,0.6
Chopin,Scherzos_31,train,ZhangW04M,T5,maestro,0.3467,0.3823,0.424,0.3467,0.3823,0.424
Chopin,Scherzos_31,train,ZhangW04M,T5,disklavier,0.0537,-0.0074,0.0397,0.0537,-0.0074,0.0397
Chopin,Scherzos_31,train,ZhangW04M,oaf,disklavier,0.1208,0.0366,0.1478,0.1208,0.0366,0.1478
Chopin,Scherzos_31,train,ZhangW04M,kong,disklavier,0.2556,0.0429,0.2189,0.132,0.0377,0.1367
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,maestro,0.3882,0.1918,0.4301,0.3882,0.1918,0.4301
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,maestro,0.4415,0.1028,0.4738,0.4415,0.1028,0.4738
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,maestro,0.8624,0.619,0.8123,0.5718,0.3115,0.4938
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,disklavier,0.5305,0.3595,0.6352,0.3183,0.219,0.4064
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,disklavier,0.3502,0.2418,0.3809,0.3502,0.2418,0.3809
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,disklavier,0.2046,0.0208,0.2603,0.2046,0.0208,0.2603
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,maestro,0.2729,0.4097,0.3775,0.2729,0.4097,0.3775
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,maestro,0.24,0.1808,0.3648,0.24,0.1808,0.3648
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,maestro,0.8638,0.7898,0.9027,0.3932,0.743,0.5895
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,disklavier,0.2721,0.2817,0.4045,0.2721,0.2817,0.4045
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,disklavier,0.1755,0.1557,0.2421,0.1755,0.1557,0.2421
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,disklavier,0.7326,0.4427,0.741,0.3307,0.4391,0.4412
Glinka,The_Lark,train,Denisova10M,kong,maestro,0.914,0.908,0.8357,0.2771,0.229,0.6724
Glinka,The_Lark,train,Denisova10M,oaf,maestro,0.2539,0.0718,0.6233,0.2539,0.0718,0.6233
Glinka,The_Lark,train,Denisova10M,T5,maestro,0.2459,0.1126,0.6812,0.2459,0.1126,0.6812
Glinka,The_Lark,train,Denisova10M,T5,disklavier,0.2436,0.0578,0.2036,0.2436,0.0578,0.2036
Glinka,The_Lark,train,Denisova10M,kong,disklavier,0.8112,0.8984,0.6176,0.2468,0.1298,0.4418
Glinka,The_Lark,train,Denisova10M,oaf,disklavier,0.2076,0.1328,0.4307,0.2076,0.1328,0.4307
Glinka,The_Lark,train,Kleisen07M,T5,maestro,0.3323,0.221,0.6626,0.3323,0.221,0.6626
Glinka,The_Lark,train,Kleisen07M,oaf,maestro,0.3511,0.135,0.5488,0.3511,0.135,0.5488
Glinka,The_Lark,train,Kleisen07M,kong,maestro,0.9004,0.8628,0.7786,0.3169,0.381,0.6673
Glinka,The_Lark,train,Kleisen07M,kong,disklavier,0.7495,0.7719,0.4629,0.2161,0.2311,0.3359
Glinka,The_Lark,train,Kleisen07M,oaf,disklavier,0.2745,0.2429,0.2988,0.2745,0.2429,0.2988
Glinka,The_Lark,train,Kleisen07M,T5,disklavier,0.2541,0.1378,0.3036,0.2541,0.1378,0.3036
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,kong,maestro,0.7564,0.7044,0.5513,0.5593,0.6312,0.5285
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,oaf,maestro,0.4397,0.4729,0.4781,0.4397,0.4729,0.4781
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,T5,maestro,0.3548,0.1201,0.3454,0.3548,0.1201,0.3454
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,T5,disklavier,0.0689,0.0113,0.0747,0.0689,0.0113,0.0747
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,oaf,disklavier,0.089,0.1527,0.1477,0.089,0.1527,0.1477
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,kong,disklavier,0.3103,0.2166,0.2337,0.2159,0.0696,0.2088
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,T5,maestro,0.1972,0.6221,0.2279,0.1972,0.6221,0.2279
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,kong,maestro,0.5964,0.7297,0.49,0.3691,0.5883,0.4242
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,oaf,maestro,0.3096,0.1338,0.3208,0.3096,0.1338,0.3208
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,oaf,disklavier,0.098,0.1212,0.1212,0.098,0.1212,0.1212
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,kong,disklavier,0.4208,0.2229,0.2292,0.1595,0.1244,0.1723
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,T5,disklavier,0.0606,-0.0152,0.0591,0.0606,-0.0152,0.0591
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,T5,maestro,0.2871,0.251,0.2972,0.2871,0.251,0.2972
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,kong,maestro,0.8045,0.8519,0.6394,0.5538,0.759,0.5239
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,oaf,maestro,0.3603,0.2413,0.2884,0.3603,0.2413,0.2884
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,T5,disklavier,0.0375,-0.0021,0.0593,0.0375,-0.0021,0.0593
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,kong,disklavier,0.4547,0.1499,0.1985,0.1373,0.0699,0.1378
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,oaf,disklavier,0.0917,0.0944,0.1065,0.0917,0.0944,0.1065
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,kong,maestro,0.8364,0.9605,0.6721,0.4616,0.5821,0.5685
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,oaf,maestro,0.2116,0.1389,0.25,0.2116,0.1389,0.25
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,T5,maestro,0.1773,0.1001,0.2225,0.1773,0.1001,0.2225
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,oaf,disklavier,0.0707,0.0771,0.0899,0.0707,0.0771,0.0899
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,kong,disklavier,0.5416,0.5423,0.2135,0.1633,0.1649,0.1453
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,T5,disklavier,0.0271,0.0241,0.0399,0.0271,0.0241,0.0399
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,oaf,maestro,0.4007,0.2345,0.4253,0.4007,0.2345,0.4253
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,kong,maestro,0.7282,0.6954,0.6953,0.5388,0.6096,0.5374
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,T5,maestro,0.3346,0.3867,0.3094,0.3346,0.3867,0.3094
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,kong,disklavier,0.1563,0.182,0.1944,0.1546,0.1795,0.1858
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,T5,disklavier,0.0354,0.0184,0.0234,0.0354,0.0184,0.0234
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,oaf,disklavier,0.0951,0.1551,0.1629,0.0951,0.1551,0.1629
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,T5,maestro,0.2487,0.2822,0.2452,0.2487,0.2822,0.2452
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,oaf,maestro,0.4051,0.4751,0.3366,0.4051,0.4751,0.3366
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,kong,maestro,0.8261,0.56,0.7184,0.6452,0.4601,0.6396
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,oaf,disklavier,0.2653,0.112,0.256,0.2653,0.112,0.256
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,T5,disklavier,0.2128,-0.0028,0.2062,0.2128,-0.0028,0.2062
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,kong,disklavier,0.4486,0.1918,0.2991,0.3112,0.1316,0.2676
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,T5,maestro,0.2246,0.6547,0.2799,0.2246,0.6547,0.2799
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,oaf,maestro,0.4413,0.4678,0.4319,0.4413,0.4678,0.4319
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,kong,maestro,0.7292,0.8037,0.693,0.6617,0.724,0.6563
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,kong,disklavier,0.2009,0.2306,0.1763,0.1405,0.2301,0.1502
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,T5,disklavier,0.1173,0.0314,0.1439,0.1173,0.0314,0.1439
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,oaf,disklavier,0.0869,0.1692,0.1129,0.0869,0.1692,0.1129
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,kong,maestro,0.9354,0.8241,0.9037,0.5999,0.5407,0.6259
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,oaf,maestro,0.5857,0.1638,0.6406,0.5857,0.1638,0.6406
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,T5,maestro,0.481,0.234,0.5932,0.481,0.234,0.5932
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,T5,disklavier,0.5677,0.0714,0.3174,0.5677,0.0714,0.3174
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,kong,disklavier,0.829,0.3935,0.6099,0.5311,0.1747,0.4415
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,oaf,disklavier,0.5811,0.1767,0.6016,0.5811,0.1767,0.6016
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,T5,maestro,0.3573,0.2845,0.4054,0.3573,0.2845,0.4054
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,oaf,maestro,0.5604,0.3047,0.5749,0.5604,0.3047,0.5749
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,kong,maestro,0.8478,0.856,0.827,0.5147,0.4752,0.5286
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,T5,disklavier,0.3517,0.091,0.2506,0.3517,0.091,0.2506
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,oaf,disklavier,0.4324,0.2174,0.4817,0.4324,0.2174,0.4817
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,kong,disklavier,0.6326,0.5779,0.5479,0.397,0.2698,0.4656
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,oaf,maestro,0.2416,0.5006,0.1884,0.2416,0.5006,0.1884
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,T5,maestro,0.1885,0.4564,0.1405,0.1885,0.4564,0.1405
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,kong,maestro,0.9232,0.8688,0.9383,0.3253,0.7038,0.2977
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,oaf,disklavier,0.0935,0.1607,0.1441,0.0935,0.1607,0.1441
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,kong,disklavier,0.6467,0.3615,0.8193,0.0992,0.2248,0.1209
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,T5,disklavier,0.0574,0.0552,0.1077,0.0574,0.0552,0.1077
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,kong,maestro,0.912,0.8833,0.9288,0.5722,0.5052,0.5822
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,T5,maestro,0.6054,0.2594,0.6271,0.6054,0.2594,0.6271
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,oaf,maestro,0.569,0.2344,0.611,0.569,0.2344,0.611
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,kong,disklavier,0.8118,0.6725,0.8836,0.4847,0.2802,0.5506
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,T5,disklavier,0.4912,0.1881,0.5585,0.4912,0.1881,0.5585
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,oaf,disklavier,0.5008,0.2497,0.5728,0.5008,0.2497,0.5728
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,T5,maestro,0.5816,0.4898,0.3516,0.5816,0.4898,0.3516
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,kong,maestro,0.9474,0.8436,0.9098,0.5909,0.5986,0.3325
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,oaf,maestro,0.5306,0.2885,0.2991,0.5306,0.2885,0.2991
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,T5,disklavier,0.4478,0.1712,0.2716,0.4478,0.1712,0.2716
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,oaf,disklavier,0.5127,0.2023,0.2903,0.5127,0.2023,0.2903
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,kong,disklavier,0.8368,0.2846,0.7297,0.451,0.1636,0.2618
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,T5,maestro,0.3383,0.28,0.2654,0.3383,0.28,0.2654
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,oaf,maestro,0.5096,0.393,0.2741,0.5096,0.393,0.2741
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,kong,maestro,0.9662,0.8272,0.9717,0.505,0.6582,0.3298
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,T5,disklavier,0.4346,0.1052,0.1453,0.4346,0.1052,0.1453
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,oaf,disklavier,0.4254,0.0872,0.2738,0.4254,0.0872,0.2738
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,kong,disklavier,0.8213,0.2937,0.8173,0.4378,0.1152,0.2109
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,T5,maestro,0.2701,0.2867,0.3972,0.2701,0.2867,0.3972
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,kong,maestro,0.9147,0.7548,0.9151,0.305,0.5021,0.4436
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,oaf,maestro,0.2956,0.3452,0.3985,0.2956,0.3452,0.3985
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,kong,disklavier,0.7114,0.364,0.7171,0.2249,0.2756,0.319
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,oaf,disklavier,0.2144,0.1765,0.3417,0.2144,0.1765,0.3417
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,T5,disklavier,0.1424,0.0737,0.2097,0.1424,0.0737,0.2097
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,T5,maestro,0.5065,0.2435,0.4659,0.5065,0.2435,0.4659
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,oaf,maestro,0.5194,0.427,0.408,0.5194,0.427,0.408
