composer,title,split,performer,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.1476,0.1597,0.0364,0.1476,0.1597,0.0364
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.5258,0.5063,0.1189,0.3837,0.4498,0.1152
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.4919,0.6741,0.3093,0.316,0.4818,0.274
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.2342,0.2496,0.1736,0.2342,0.2496,0.1736
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.2246,0.176,0.1883,0.2246,0.176,0.1883
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.0307,0.0213,0.0139,0.0307,0.0213,0.0139
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.1248,0.1063,0.0805,0.1248,0.1063,0.0805
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.266,0.1585,0.1009,0.1675,0.1024,0.0485
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.277,0.1938,0.2516,0.277,0.1938,0.2516
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.1284,0.222,0.1118,0.1284,0.222,0.1118
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.5282,0.7462,0.4145,0.3956,0.4912,0.3391
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.2108,0.1883,0.1145,0.1039,0.165,0.0819
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.0002,0.1672,0.0087,0.0002,0.1672,0.0087
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.0769,0.0651,0.1133,0.0769,0.0651,0.1133
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.6195,0.3419,0.36,0.6195,0.3419,0.36
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.6498,0.2668,0.3284,0.6498,0.2668,0.3284
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.7024,0.4992,0.347,0.6573,0.4766,0.3267
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.2953,0.1001,0.2123,0.2953,0.1001,0.2123
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.3217,0.0385,0.1594,0.3217,0.0385,0.1594
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.3655,0.1549,0.2096,0.406,0.166,0.2251
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.4035,0.1357,0.4691,0.4035,0.1357,0.4691
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.9817,0.884,0.8393,0.4896,0.2243,0.4566
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.3853,0.2416,0.5294,0.3853,0.2416,0.5294
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.9102,0.4931,0.303,0.3178,0.0306,0.1404
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.3355,0.012,0.1864,0.3355,0.012,0.1864
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.2939,0.0429,0.1148,0.2939,0.0429,0.1148
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.2147,0.202,0.1129,0.2147,0.202,0.1129
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.343,0.3243,0.2528,0.343,0.3243,0.2528
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.6732,0.6851,0.4595,0.49,0.5257,0.3852
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.3873,0.3065,0.1285,0.2369,0.237,0.1978
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.1916,0.1999,0.1124,0.1916,0.1999,0.1124
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.125,0.0487,0.1325,0.125,0.0487,0.1325
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.2807,0.1751,0.4317,0.2807,0.1751,0.4317
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.3607,0.1862,0.4984,0.3607,0.1862,0.4984
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.4935,0.5477,0.5809,0.4158,0.4126,0.5225
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.0684,0.1691,0.142,0.0684,0.1691,0.142
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.0294,0.0126,0.0533,0.0294,0.0126,0.0533
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.1862,0.3043,0.2239,0.1259,0.1995,0.1912
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.4533,0.1979,0.5404,0.4533,0.1979,0.5404
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.5335,0.3415,0.5723,0.527,0.2553,0.5221
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.2508,0.2474,0.39,0.2508,0.2474,0.39
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.1089,0.2034,0.1763,0.1193,0.1721,0.1843
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.0567,0.01,0.0291,0.0567,0.01,0.0291
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.0763,0.0468,0.117,0.0763,0.0468,0.117
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.109,0.0455,0.1859,0.109,0.0455,0.1859
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.4773,0.5539,0.6111,0.2992,0.2542,0.4021
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.0959,0.0934,0.1467,0.0959,0.0934,0.1467
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.091,-0.039,0.1504,0.091,-0.039,0.1504
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.0933,-0.0234,0.1276,0.0933,-0.0234,0.1276
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.2466,0.0006,0.3465,0.1159,-0.0172,0.1464
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.8142,0.4709,0.8327,0.3946,0.1767,0.4576
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.2497,0.1637,0.3382,0.2497,0.1637,0.3382
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.3169,0.0765,0.4339,0.3169,0.0765,0.4339
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.4308,0.2562,0.3482,0.1147,0.0871,0.1119
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.0644,0.1014,0.0654,0.0644,0.1014,0.0654
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.0507,0.0475,0.0557,0.0507,0.0475,0.0557
