composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.5596,0.3762,0.0,322.0,1059.0,0.0358,0.1236
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.039,0.0691,0.0,611.0,2470.0,0.7054,0.4448
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.0985,0.0715,0.0,571.0,1736.0,2.7953,5.2538
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.0462,0.0825,0.0,340.0,1024.0,0.9392,0.5334
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.0931,0.1231,0.0,1324.0,12364.0,0.4819,0.1629
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.5067,0.3625,0.0,1636.0,6344.0,4.0346,8.0282
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.3863,0.3163,0.0,1245.0,4782.0,0.2233,0.1348
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.1261,0.0831,0.0,1602.0,5685.0,0.9985,1.1019
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.0856,0.0862,0.0,1610.0,6332.0,3.9319,7.7603
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.0612,0.0745,0.0,3534.0,12170.0,1.2423,0.9548
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.4633,0.4175,0.0,1000.0,3744.0,0.0857,0.0792
Chopin,Polonaises_53,test,YeF11M,T5,maestro,-0.1003,0.2249,0.0,2406.0,9847.0,0.1921,0.1337
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.6314,0.3804,0.0,1336.0,5670.0,2.9711,7.8081
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.1604,0.0961,0.0,1508.0,6139.0,3.0195,7.5751
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,-0.0957,0.0902,0.0,5378.0,14393.0,1.3794,0.839
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.1349,0.0959,0.0,1578.0,4818.0,1.1818,0.8694
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.2048,-0.1024,0.0,383.0,1219.0,0.1991,0.15
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.1299,0.0906,0.0,456.0,1610.0,0.2086,0.1555
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.2083,0.0088,0.0,478.0,1610.0,4.4498,6.3095
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,-0.0678,0.1523,0.0,517.0,1056.0,4.4346,6.3219
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.1284,0.1521,0.0,638.0,1741.0,0.5055,0.4132
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.077,0.1506,0.0,431.0,931.0,0.1775,0.2828
