composer,title,split,performer,model,recording,p_nov,r_nov,f_nov
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.7282,0.6606,0.6927
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.5121,0.4506,0.4794
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.7177,0.6931,0.7052
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.6042,0.5334,0.5666
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.5695,0.5257,0.5467
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.4958,0.4831,0.4894
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.4625,0.4368,0.4493
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.8624,0.8277,0.8447
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.4117,0.3762,0.3931
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.6231,0.6044,0.6136
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.3565,0.3153,0.3347
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.2832,0.2776,0.2804
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.7129,0.6303,0.6691
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.5919,0.5184,0.5527
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.825,0.7566,0.7893
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.6974,0.657,0.6766
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.5692,0.5006,0.5327
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.5076,0.4749,0.4907
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.0114,0.0106,0.011
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.0102,0.0092,0.0097
