composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.8104,0.268,0.1896,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3562,0.0126,0.45,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7501,0.4269,0.3086,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.6218,0.2554,0.0677,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3389,-0.0089,0.4677,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7261,0.4082,0.3246,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2363,0.2156,0.0457,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6388,0.2684,0.2661,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6972,0.3913,0.3363,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0506,0.085,0.4142,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5272,0.1347,0.3053,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2382,-0.0038,0.5085,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.6355,0.3088,0.2988,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7334,0.3041,0.2667,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7609,0.4318,0.2949,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.3697,0.2271,-0.3083,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6956,0.1747,0.3225,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7013,0.4113,0.333,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1569,0.0027,-0.3375,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5,0.1512,0.1833,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2175,0.0431,0.4233,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1613,0.0163,-0.296,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3206,0.0867,0.3817,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2476,-0.0027,0.3618,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.3494,0.3187,0.3675,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5667,0.1303,0.3358,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7242,0.3061,0.2805,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2632,0.1277,0.3777,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6385,0.1806,0.3165,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7076,0.2936,0.2701,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0027,0.0873,0.0957,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4598,0.1307,0.3095,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2421,-0.0152,0.5013,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.4415,-0.0029,-0.3084,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3117,0.0774,0.2664,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2888,0.019,0.3241,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.7148,0.0859,-0.026,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.903,0.0807,-0.1977,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.9182,0.0415,-0.1955,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.5594,0.1696,-0.3717,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.8748,-0.0447,-0.1945,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.8973,0.0417,-0.1854,norev,24
Chopin,Scherzos_31,train,T5,disklavier,0.2095,0.1601,-0.0904,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.6147,0.1354,0.1087,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.8486,0.0187,-0.1966,norev,12
Chopin,Scherzos_31,train,T5,disklavier,0.1541,0.1858,-0.0548,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.4578,0.1117,0.2481,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.7258,-0.0751,-0.1568,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.4549,-0.0247,-0.0055,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.6125,0.0998,-0.0474,s,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.7693,-0.0199,-0.238,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.4449,0.0578,-0.3492,s,24
Chopin,Scherzos_31,train,kong,disklavier,0.6573,0.0202,-0.0311,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.8587,0.0195,-0.2246,s,24
Chopin,Scherzos_31,train,T5,disklavier,0.3618,0.2907,0.2411,s,12
