composer,title,split,performer,model,recording,p_nov,r_nov,f_nov
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.9043,0.8885,0.8963
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.9256,0.8989,0.912
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.8576,0.8244,0.8407
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.7206,0.6841,0.7019
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.6486,0.6759,0.662
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.7782,0.7718,0.775
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.9069,0.8897,0.8983
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.8326,0.7927,0.8122
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.9372,0.9045,0.9206
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.7313,0.752,0.7415
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.6659,0.624,0.6443
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.8046,0.7927,0.7986
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.9392,0.9282,0.9337
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.9611,0.9399,0.9504
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.7668,0.7445,0.7555
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.8277,0.8221,0.8249
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.5647,0.5411,0.5526
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.6892,0.7285,0.7083
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.874,0.8381,0.8557
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.8938,0.8872,0.8905
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.9266,0.8977,0.9119
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.8272,0.8183,0.8227
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.3747,0.3575,0.3659
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.7487,0.7642,0.7564
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.9289,0.8988,0.9136
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.893,0.8761,0.8845
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.8511,0.8207,0.8356
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.8379,0.8366,0.8372
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.7356,0.7659,0.7505
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.7265,0.6955,0.7107
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.7819,0.7553,0.7684
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.8997,0.89,0.8949
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.0302,0.0295,0.0298
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,disklavier,0.5929,0.619,0.6057
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,disklavier,0.6491,0.6266,0.6377
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,disklavier,0.7739,0.7736,0.7737
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,maestro,0.779,0.7499,0.7642
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,maestro,0.0442,0.0432,0.0437
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.8977,0.885,0.8913
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.7061,0.7256,0.7157
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.7058,0.6786,0.692
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.8272,0.8209,0.824
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.8316,0.7462,0.7866
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.597,0.5347,0.5642
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.8002,0.7432,0.7706
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.6088,0.6025,0.6056
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.481,0.4354,0.4571
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.4391,0.4423,0.4407
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.8676,0.8243,0.8454
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.8864,0.8077,0.8452
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.7654,0.6901,0.7258
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.6799,0.6281,0.653
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.5526,0.5473,0.5499
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.7182,0.7112,0.7147
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.7159,0.6913,0.7034
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.8005,0.7262,0.7616
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.5706,0.5021,0.5341
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.6457,0.5701,0.6055
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.6092,0.5624,0.5849
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.5176,0.5044,0.5109
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.8572,0.8227,0.8396
