composer,title,split,model,recording,p_f,r_f,f_f,reverb,snr
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5934,0.9339,0.7257,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8116,0.9213,0.863,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.8229,0.899,0.8593,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.3659,0.8064,0.5034,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7712,0.8611,0.8136,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.8151,0.889,0.8505,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0974,0.316,0.1489,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6519,0.6179,0.6344,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7984,0.8227,0.8104,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0502,0.2835,0.0853,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5376,0.2494,0.3407,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2802,0.2215,0.2474,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2372,0.7597,0.3615,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3568,0.916,0.5135,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6005,0.8464,0.7025,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0921,0.4348,0.1521,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3517,0.8086,0.4902,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5858,0.8229,0.6844,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0492,0.3812,0.0871,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3201,0.4013,0.3561,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.181,0.312,0.2291,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0463,0.5569,0.0855,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3753,0.1359,0.1995,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1826,0.0675,0.0985,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.092,0.9326,0.1675,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1243,0.9572,0.22,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2756,0.8397,0.415,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0809,0.5921,0.1424,l,24
