composer,title,split,model,recording,p_no,r_no,f_no,reverb,snr
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.8874,0.8756,0.8814,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8398,0.837,0.8384,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.792,0.7578,0.7745,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.7475,0.6608,0.7015,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7876,0.774,0.7808,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7719,0.7346,0.7528,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2929,0.0718,0.1153,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5883,0.4775,0.5271,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7323,0.6552,0.6916,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0047,0.0005,0.0008,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4237,0.148,0.2193,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0315,0.0191,0.0238,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2297,0.4295,0.2994,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1593,0.2185,0.1843,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2658,0.26,0.2629,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1189,0.1073,0.1128,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1594,0.1756,0.1671,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2593,0.2395,0.249,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0129,0.0033,0.0053,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1126,0.0531,0.0722,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0082,0.0047,0.006,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0059,0.0009,0.0016,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0805,0.0135,0.0231,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.012,0.0029,0.0046,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1058,0.2791,0.1534,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0816,0.1669,0.1096,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1035,0.1103,0.1068,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0875,0.1055,0.0956,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0826,0.1184,0.0973,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0988,0.1017,0.1002,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0177,0.0024,0.0043,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0687,0.0349,0.0463,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0153,0.0106,0.0126,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0058,0.0009,0.0016,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0406,0.005,0.0089,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0116,0.0049,0.0068,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.562,0.563,0.5625,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.7458,0.7384,0.7421,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.7655,0.7028,0.7328,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.5872,0.5269,0.5554,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.7049,0.6801,0.6923,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.7595,0.6956,0.7262,norev,24
