composer,title,split,performer,model,recording,p_no,r_no,f_no
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.9242,0.9081,0.9161
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.9322,0.9053,0.9186
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.8786,0.8447,0.8613
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.7738,0.7347,0.7537
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.736,0.7669,0.7511
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.8505,0.8434,0.8469
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.9174,0.9,0.9086
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.85,0.8093,0.8291
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.941,0.9081,0.9243
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.8186,0.8418,0.8301
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.717,0.6719,0.6937
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.9009,0.8876,0.8942
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.9475,0.9365,0.942
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.9636,0.9423,0.9529
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.794,0.7709,0.7823
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.895,0.889,0.892
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.6069,0.5816,0.594
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.7766,0.8209,0.7981
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.8904,0.8538,0.8717
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.9004,0.8937,0.897
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.9301,0.9011,0.9154
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.8932,0.8835,0.8883
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.4016,0.3832,0.3922
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.8299,0.847,0.8384
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.9356,0.9054,0.9203
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.9019,0.8848,0.8933
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.8741,0.8428,0.8581
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.9015,0.9001,0.9008
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.8086,0.8418,0.8249
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.7782,0.745,0.7613
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.801,0.7736,0.7871
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.9065,0.8967,0.9016
