composer,title,split,performer,model,recording,p_no,r_no,f_no
Chopin,Scherzos_31,train,LuoJ12M,T5,maestro,0.755,0.7395,0.7472
Chopin,Scherzos_31,train,LuoJ12M,oaf,disklavier,0.0201,0.0191,0.0196
Chopin,Scherzos_31,train,LuoJ12M,kong,disklavier,0.7115,0.7161,0.7138
Chopin,Scherzos_31,train,LuoJ12M,T5,disklavier,0.4081,0.4226,0.4152
Chopin,Scherzos_31,train,SunD04M,kong,maestro,0.9346,0.9171,0.9258
Chopin,Scherzos_31,train,SunD04M,oaf,maestro,0.7452,0.7147,0.7296
Chopin,Scherzos_31,train,SunD04M,T5,maestro,0.7666,0.7433,0.7548
Chopin,Scherzos_31,train,SunD04M,T5,disklavier,0.3946,0.4174,0.4057
Chopin,Scherzos_31,train,SunD04M,oaf,disklavier,0.6504,0.608,0.6285
Chopin,Scherzos_31,train,SunD04M,kong,disklavier,0.6925,0.6921,0.6923
Chopin,Scherzos_31,train,TongB04M,oaf,maestro,0.6566,0.6332,0.6447
Chopin,Scherzos_31,train,TongB04M,kong,maestro,0.935,0.9243,0.9296
Chopin,Scherzos_31,train,TongB04M,T5,maestro,0.7232,0.7041,0.7136
Chopin,Scherzos_31,train,TongB04M,T5,disklavier,0.35,0.3806,0.3646
Chopin,Scherzos_31,train,TongB04M,kong,disklavier,0.7353,0.741,0.7381
Chopin,Scherzos_31,train,TongB04M,oaf,disklavier,0.605,0.5651,0.5844
Chopin,Scherzos_31,train,TuanS05M,T5,maestro,0.7575,0.7375,0.7474
Chopin,Scherzos_31,train,TuanS05M,oaf,maestro,0.5647,0.5466,0.5555
Chopin,Scherzos_31,train,TuanS05M,kong,maestro,0.9362,0.9254,0.9308
Chopin,Scherzos_31,train,TuanS05M,kong,disklavier,0.804,0.8095,0.8067
Chopin,Scherzos_31,train,TuanS05M,T5,disklavier,0.4282,0.4647,0.4457
Chopin,Scherzos_31,train,TuanS05M,oaf,disklavier,0.6704,0.6336,0.6515
Chopin,Scherzos_31,train,ZhangW04M,oaf,maestro,0.7095,0.6872,0.6982
Chopin,Scherzos_31,train,ZhangW04M,kong,maestro,0.9145,0.9014,0.9079
Chopin,Scherzos_31,train,ZhangW04M,T5,maestro,0.7944,0.7757,0.7849
Chopin,Scherzos_31,train,ZhangW04M,T5,disklavier,0.4388,0.451,0.4448
Chopin,Scherzos_31,train,ZhangW04M,oaf,disklavier,0.6127,0.5824,0.5972
Chopin,Scherzos_31,train,ZhangW04M,kong,disklavier,0.689,0.6896,0.6893
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,maestro,0.6204,0.5912,0.6054
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,maestro,0.5944,0.5411,0.5665
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,maestro,0.917,0.893,0.9048
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,disklavier,0.6289,0.608,0.6183
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,disklavier,0.3663,0.336,0.3505
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,disklavier,0.2619,0.2676,0.2647
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,maestro,0.5714,0.5611,0.5662
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,maestro,0.5426,0.5219,0.532
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,maestro,0.9128,0.9006,0.9067
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,disklavier,0.524,0.504,0.5138
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,disklavier,0.4139,0.4339,0.4237
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,disklavier,0.8209,0.827,0.824
Glinka,The_Lark,train,Denisova10M,kong,maestro,0.8203,0.8167,0.8185
Glinka,The_Lark,train,Denisova10M,oaf,maestro,0.5219,0.5056,0.5136
Glinka,The_Lark,train,Denisova10M,T5,maestro,0.5521,0.5408,0.5464
Glinka,The_Lark,train,Denisova10M,T5,disklavier,0.3953,0.4232,0.4088
Glinka,The_Lark,train,Denisova10M,kong,disklavier,0.8484,0.8695,0.8588
Glinka,The_Lark,train,Denisova10M,oaf,disklavier,0.4914,0.4785,0.4849
Glinka,The_Lark,train,Kleisen07M,T5,maestro,0.5471,0.5238,0.5352
Glinka,The_Lark,train,Kleisen07M,oaf,maestro,0.4968,0.4567,0.4759
Glinka,The_Lark,train,Kleisen07M,kong,maestro,0.8388,0.816,0.8273
Glinka,The_Lark,train,Kleisen07M,kong,disklavier,0.6761,0.6602,0.668
Glinka,The_Lark,train,Kleisen07M,oaf,disklavier,0.3902,0.3625,0.3759
Glinka,The_Lark,train,Kleisen07M,T5,disklavier,0.2642,0.2714,0.2678
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,kong,maestro,0.945,0.9412,0.9431
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,oaf,maestro,0.7859,0.7687,0.7772
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,T5,maestro,0.927,0.9145,0.9207
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,T5,disklavier,0.0402,0.0402,0.0402
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,oaf,disklavier,0.6419,0.6204,0.631
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,kong,disklavier,0.043,0.0428,0.0429
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,T5,maestro,0.9249,0.9121,0.9185
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,kong,maestro,0.9225,0.919,0.9208
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,oaf,maestro,0.8615,0.8447,0.853
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,oaf,disklavier,0.3926,0.3824,0.3874
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,kong,disklavier,0.8931,0.8923,0.8927
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,T5,disklavier,0.8096,0.824,0.8167
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,T5,maestro,0.9106,0.8976,0.904
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,kong,maestro,0.9078,0.905,0.9064
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,oaf,maestro,0.6527,0.6388,0.6457
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,T5,disklavier,0.7588,0.7693,0.764
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,kong,disklavier,0.8231,0.8234,0.8233
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,oaf,disklavier,0.4819,0.4687,0.4752
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,kong,maestro,0.969,0.9666,0.9678
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,oaf,maestro,0.8347,0.823,0.8288
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,T5,maestro,0.902,0.8865,0.8942
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,oaf,disklavier,0.6473,0.6224,0.6346
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,kong,disklavier,0.8915,0.8882,0.8899
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,T5,disklavier,0.7466,0.7504,0.7485
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,oaf,maestro,0.619,0.6037,0.6113
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,kong,maestro,0.8804,0.8721,0.8762
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,T5,maestro,0.8612,0.8365,0.8487
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,kong,disklavier,0.7762,0.7766,0.7764
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,T5,disklavier,0.6767,0.6835,0.6801
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,oaf,disklavier,0.4967,0.4746,0.4854
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,T5,maestro,0.9534,0.9431,0.9482
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,oaf,maestro,0.8629,0.8567,0.8598
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,kong,maestro,0.9348,0.9356,0.9352
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,oaf,disklavier,0.8006,0.788,0.7943
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,T5,disklavier,0.8256,0.8493,0.8373
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,kong,disklavier,0.9303,0.9348,0.9325
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,T5,maestro,0.9179,0.9092,0.9136
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,oaf,maestro,0.7716,0.7641,0.7678
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,kong,maestro,0.9606,0.9559,0.9582
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,kong,disklavier,0.889,0.8852,0.8871
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,T5,disklavier,0.7975,0.8062,0.8018
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,oaf,disklavier,0.5383,0.5213,0.5297
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,kong,maestro,0.9267,0.8945,0.9103
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,oaf,maestro,0.6402,0.5976,0.6181
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,T5,maestro,0.7014,0.6663,0.6834
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,T5,disklavier,0.4556,0.4206,0.4374
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,kong,disklavier,0.6373,0.6047,0.6205
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,oaf,disklavier,0.4625,0.4191,0.4397
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,T5,maestro,0.7563,0.7283,0.742
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,oaf,maestro,0.7172,0.6837,0.7
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,kong,maestro,0.9157,0.9003,0.9079
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,T5,disklavier,0.5947,0.562,0.5779
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,oaf,disklavier,0.6287,0.5856,0.6064
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,kong,disklavier,0.7821,0.7608,0.7713
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,oaf,maestro,0.6539,0.6107,0.6315
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,T5,maestro,0.7124,0.6758,0.6936
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,kong,maestro,0.9078,0.8801,0.8937
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,oaf,disklavier,0.5382,0.4981,0.5174
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,kong,disklavier,0.7239,0.7022,0.7129
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,T5,disklavier,0.4371,0.4151,0.4258
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,kong,maestro,0.8886,0.8436,0.8655
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,T5,maestro,0.6593,0.6137,0.6357
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,oaf,maestro,0.5206,0.4726,0.4954
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,kong,disklavier,0.0472,0.0446,0.0459
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,T5,disklavier,0.0277,0.0255,0.0266
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,oaf,disklavier,0.0273,0.0247,0.0259
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,T5,maestro,0.7248,0.6903,0.7071
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,kong,maestro,0.923,0.8884,0.9054
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,oaf,maestro,0.683,0.6356,0.6585
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,T5,disklavier,0.4144,0.3911,0.4024
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,oaf,disklavier,0.562,0.5124,0.536
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,kong,disklavier,0.7497,0.7167,0.7328
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,T5,maestro,0.641,0.6133,0.6268
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,oaf,maestro,0.5709,0.5416,0.5559
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,kong,maestro,0.928,0.9058,0.9168
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,T5,disklavier,0.4219,0.4001,0.4107
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,oaf,disklavier,0.5017,0.4601,0.48
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,kong,disklavier,0.6741,0.6432,0.6583
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,T5,maestro,0.6787,0.6297,0.6533
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,kong,maestro,0.9073,0.867,0.8867
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,oaf,maestro,0.6499,0.5976,0.6227
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,kong,disklavier,0.7251,0.6815,0.7027
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,oaf,disklavier,0.5475,0.485,0.5143
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,T5,disklavier,0.4807,0.4457,0.4625
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,T5,maestro,0.6681,0.6418,0.6547
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,oaf,maestro,0.6415,0.6094,0.625
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,kong,maestro,0.9192,0.8992,0.9091
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,kong,disklavier,0.6868,0.6691,0.6778
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,T5,disklavier,0.437,0.4216,0.4291
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,oaf,disklavier,0.4983,0.4634,0.4802
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,T5,maestro,0.0135,0.0128,0.0131
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,kong,maestro,0.0119,0.0116,0.0117
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,oaf,maestro,0.0084,0.0079,0.0081
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,kong,disklavier,0.7538,0.7201,0.7366
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,oaf,disklavier,0.5415,0.4861,0.5123
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,T5,disklavier,0.477,0.4416,0.4587
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,T5,maestro,0.5506,0.5022,0.5253
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,kong,maestro,0.8547,0.7821,0.8168
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,oaf,maestro,0.5147,0.4418,0.4755
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,kong,disklavier,0.6755,0.6226,0.6479
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,T5,disklavier,0.3928,0.3615,0.3765
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,oaf,disklavier,0.4426,0.3739,0.4054
Mozart,Piano_Sonatas_12-1,train,MunA03M,T5,maestro,0.9248,0.9126,0.9187
Mozart,Piano_Sonatas_12-1,train,MunA03M,oaf,maestro,0.8532,0.8396,0.8463
Mozart,Piano_Sonatas_12-1,train,MunA03M,kong,maestro,0.929,0.9246,0.9268
Mozart,Piano_Sonatas_12-1,train,MunA03M,oaf,disklavier,0.6941,0.6836,0.6888
Mozart,Piano_Sonatas_12-1,train,MunA03M,kong,disklavier,0.8482,0.8583,0.8532
Mozart,Piano_Sonatas_12-1,train,MunA03M,T5,disklavier,0.7129,0.7582,0.7349
Mozart,Piano_Sonatas_12-1,train,WuuE02M,T5,maestro,0.9265,0.9168,0.9216
Mozart,Piano_Sonatas_12-1,train,WuuE02M,oaf,maestro,0.8338,0.8285,0.8311
Mozart,Piano_Sonatas_12-1,train,WuuE02M,kong,maestro,0.9476,0.9476,0.9476
Mozart,Piano_Sonatas_12-1,train,WuuE02M,T5,disklavier,0.7381,0.7661,0.7518
Mozart,Piano_Sonatas_12-1,train,WuuE02M,kong,disklavier,0.8568,0.8685,0.8626
Mozart,Piano_Sonatas_12-1,train,WuuE02M,oaf,disklavier,0.5857,0.5754,0.5805
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,oaf,maestro,0.0023,0.0022,0.0023
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,kong,maestro,0.0023,0.0022,0.0022
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,T5,maestro,0.003,0.003,0.003
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,T5,disklavier,0.418,0.4775,0.4457
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,kong,disklavier,0.8027,0.8317,0.817
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,oaf,disklavier,0.5371,0.5181,0.5274
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,kong,maestro,0.9565,0.9494,0.9529
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,oaf,maestro,0.7199,0.6942,0.7068
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,T5,maestro,0.723,0.7165,0.7197
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,kong,disklavier,0.0061,0.006,0.006
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,oaf,disklavier,0.0057,0.0052,0.0054
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,T5,disklavier,0.0049,0.0052,0.005
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,oaf,maestro,0.454,0.4353,0.4444
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,T5,maestro,0.5259,0.5141,0.5199
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,kong,maestro,0.8937,0.8836,0.8886
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,kong,disklavier,0.632,0.6274,0.6297
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,T5,disklavier,0.282,0.3,0.2907
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,oaf,disklavier,0.4276,0.3927,0.4094
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,T5,maestro,0.5033,0.4973,0.5003
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,kong,maestro,0.9617,0.9564,0.959
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,oaf,maestro,0.4914,0.4782,0.4847
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,T5,disklavier,0.3964,0.4086,0.4024
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,kong,disklavier,0.8602,0.8475,0.8538
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,oaf,disklavier,0.5037,0.4553,0.4782
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,kong,maestro,0.9575,0.9549,0.9562
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,T5,maestro,0.5089,0.5041,0.5065
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,oaf,maestro,0.4934,0.4818,0.4875
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,kong,disklavier,0.8857,0.9114,0.8984
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,T5,disklavier,0.3445,0.3963,0.3686
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,oaf,disklavier,0.4947,0.4759,0.4851
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,T5,maestro,0.4985,0.4937,0.496
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,oaf,maestro,0.4394,0.4227,0.4309
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,kong,maestro,0.9395,0.9348,0.9371
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,kong,disklavier,0.4703,0.4703,0.4703
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,T5,disklavier,0.1664,0.1768,0.1714
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,oaf,disklavier,0.2907,0.2769,0.2836
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,kong,maestro,0.9349,0.9375,0.9362
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,oaf,maestro,0.4264,0.4099,0.418
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,T5,maestro,0.4451,0.439,0.442
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,kong,disklavier,0.7521,0.7766,0.7641
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,T5,disklavier,0.3079,0.3201,0.3139
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,oaf,disklavier,0.4158,0.3858,0.4002
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,T5,maestro,0.4767,0.4731,0.4749
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,kong,maestro,0.9633,0.9607,0.962
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,oaf,maestro,0.463,0.4505,0.4567
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,oaf,disklavier,0.4772,0.4311,0.4529
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,kong,disklavier,0.832,0.8524,0.8421
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,T5,disklavier,0.3422,0.354,0.348
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,T5,maestro,0.4953,0.4855,0.4904
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,oaf,maestro,0.4619,0.4434,0.4525
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,kong,maestro,0.9426,0.9325,0.9375
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,T5,disklavier,0.2943,0.3107,0.3023
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,kong,disklavier,0.7178,0.7175,0.7177
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,oaf,disklavier,0.4257,0.3949,0.4097
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,oaf,maestro,0.4556,0.4255,0.44
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,T5,maestro,0.5117,0.5002,0.5059
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,kong,maestro,0.93,0.9237,0.9269
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,kong,disklavier,0.7202,0.7108,0.7155
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,oaf,disklavier,0.4135,0.3836,0.398
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,T5,disklavier,0.3162,0.3157,0.3159
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,oaf,maestro,0.5133,0.5051,0.5091
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,kong,maestro,0.9565,0.9524,0.9545
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,T5,maestro,0.5418,0.5363,0.539
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,T5,disklavier,0.3649,0.3939,0.3788
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,kong,disklavier,0.0123,0.0125,0.0124
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,oaf,disklavier,0.4865,0.4575,0.4716
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,T5,maestro,0.5551,0.5512,0.5531
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,oaf,maestro,0.4841,0.4779,0.481
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,kong,maestro,0.8945,0.8949,0.8947
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,kong,disklavier,0.5755,0.5706,0.573
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,oaf,disklavier,0.3789,0.36,0.3692
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,T5,disklavier,0.3218,0.3235,0.3226
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,kong,maestro,0.9622,0.9596,0.9609
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,oaf,maestro,0.4689,0.46,0.4644
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,T5,maestro,0.5043,0.5008,0.5025
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,oaf,disklavier,0.4789,0.4352,0.456
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,kong,disklavier,0.8351,0.8335,0.8343
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,T5,disklavier,0.3635,0.3746,0.369
Scriabin,Sonatas_5,train,FaB05M,oaf,maestro,0.3791,0.3402,0.3586
Scriabin,Sonatas_5,train,FaB05M,T5,maestro,0.5418,0.5,0.5201
Scriabin,Sonatas_5,train,FaB05M,kong,maestro,0.7853,0.7467,0.7655
Scriabin,Sonatas_5,train,FaB05M,kong,disklavier,0.5188,0.515,0.5169
Scriabin,Sonatas_5,train,FaB05M,T5,disklavier,0.2835,0.2909,0.2872
Scriabin,Sonatas_5,train,FaB05M,oaf,disklavier,0.358,0.3186,0.3371
Scriabin,Sonatas_5,train,GarritsonL06M,oaf,maestro,0.3945,0.3311,0.36
Scriabin,Sonatas_5,train,GarritsonL06M,kong,maestro,0.86,0.7955,0.8265
Scriabin,Sonatas_5,train,GarritsonL06M,T5,maestro,0.6204,0.5551,0.586
Scriabin,Sonatas_5,train,GarritsonL06M,oaf,disklavier,0.4858,0.4143,0.4472
Scriabin,Sonatas_5,train,GarritsonL06M,kong,disklavier,0.6583,0.6363,0.6471
Scriabin,Sonatas_5,train,GarritsonL06M,T5,disklavier,0.3706,0.3678,0.3692
Scriabin,Sonatas_5,train,Ko07M,oaf,maestro,0.4467,0.372,0.406
Scriabin,Sonatas_5,train,Ko07M,T5,maestro,0.6728,0.5956,0.6318
Scriabin,Sonatas_5,train,Ko07M,kong,maestro,0.8848,0.8105,0.846
Scriabin,Sonatas_5,train,Ko07M,kong,disklavier,0.8057,0.7882,0.7969
Scriabin,Sonatas_5,train,Ko07M,T5,disklavier,0.4374,0.4462,0.4417
Scriabin,Sonatas_5,train,Ko07M,oaf,disklavier,0.5786,0.4928,0.5322
Scriabin,Sonatas_5,train,Na07M,kong,maestro,0.8864,0.8362,0.8606
Scriabin,Sonatas_5,train,Na07M,T5,maestro,0.6571,0.5941,0.624
Scriabin,Sonatas_5,train,Na07M,oaf,maestro,0.5719,0.5106,0.5395
