composer,title,split,performer,model,recording,dyn_corr
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.6663
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.6145
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.6213
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.1519
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.0669
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.1822
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.601
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.6172
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.629
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.1287
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.0982
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.1168
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.7773
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.6924
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.4738
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.0642
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,-0.0153
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.0193
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.1907
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.5335
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.5681
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.0954
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,-0.0142
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.0635
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.612
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.5164
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.5782
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.0896
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.0849
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.0309
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.3158
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.5301
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.4942
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,disklavier,0.2082
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,disklavier,0.121
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,disklavier,0.1378
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,maestro,0.2811
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,maestro,0.4029
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.3665
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.1992
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.1251
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.1522
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.2316
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.2779
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.2892
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.0771
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.1262
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.0056
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.3291
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.3147
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.2964
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.0566
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.0059
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.0271
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.3652
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.2427
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.3042
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.2293
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.2361
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.1708
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.5059
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.399
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.2495
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,-0.0315
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.0547
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.0211
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.2246
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.3003
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.2839
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,-0.0293
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.0208
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,-0.0185
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.4843
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.4613
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.3915
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.2683
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.1987
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.1527
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.6799
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.6527
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.521
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.2212
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.3942
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.4119
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.476
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.5013
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.5591
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.204
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.2194
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.166
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.3532
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.4667
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.5743
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.1299
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.1434
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.1537
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.62
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.74
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.6207
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.1681
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.1703
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.2327
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.6884
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.6246
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.7685
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.235
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.1622
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.1687
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.6312
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.6908
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.6634
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.2671
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.2587
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.3014
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.7565
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.6008
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.7923
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,0.3289
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.3187
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.3708
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.8597
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.9119
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.8933
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.4476
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.4554
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.4701
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.5927
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.7551
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.8187
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.4382
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.4291
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.4116
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.7936
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.8911
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.7933
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.2521
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.4762
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.4971
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.7486
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.7743
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.7708
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.4326
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,-0.0312
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.5755
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.8313
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.8368
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.8208
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.5375
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.5286
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.4859
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.9062
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.8522
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.7767
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.4718
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.3733
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.4593
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.9519
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.8134
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.8619
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.5647
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.5373
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.5551
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.8263
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.8355
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.786
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.633
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.5371
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.5983
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.8045
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.8631
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.8562
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.6476
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.6912
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.7011
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.8401
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.8239
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.7591
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.6982
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.5839
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.6844
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.7189
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.7665
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.7443
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.6156
