composer,title,split,performer,model,recording,dyn_corr
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.5189
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.6033
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.8339
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.8511
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.7602
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.6403
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.6176
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.5926
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.7736
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.8091
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.8162
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.6537
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.5697
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,disklavier,0.645
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,maestro,0.7834
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,maestro,0.8402
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,maestro,0.8654
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,disklavier,0.5308
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,disklavier,0.6992
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,disklavier,0.6954
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,maestro,0.8351
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,maestro,0.7809
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,maestro,0.8599
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,disklavier,0.7032
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,disklavier,0.7354
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,disklavier,0.6607
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,maestro,0.7597
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,maestro,0.668
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,maestro,0.7565
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,disklavier,0.5176
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,disklavier,0.5337
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,disklavier,0.5817
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,maestro,0.7915
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,maestro,0.8861
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,maestro,0.8741
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,disklavier,0.6735
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,disklavier,0.6238
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,disklavier,0.7174
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,maestro,0.7068
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,maestro,0.8179
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,maestro,0.8033
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,disklavier,0.6443
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,disklavier,0.5655
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,disklavier,0.6474
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,maestro,0.8659
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,maestro,0.7939
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,maestro,0.8367
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,disklavier,0.6733
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,disklavier,0.665
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,disklavier,0.5835
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,maestro,0.8442
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,maestro,0.7452
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,maestro,0.8322
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,disklavier,0.5923
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,disklavier,0.676
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,disklavier,0.6833
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,maestro,0.8064
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,maestro,0.7784
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,maestro,0.8439
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,disklavier,0.632
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,disklavier,0.6497
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,disklavier,0.5982
Chopin,Scherzos_31,train,ChenW04M,oaf,maestro,0.4619
Chopin,Scherzos_31,train,ChenW04M,kong,maestro,0.5983
Chopin,Scherzos_31,train,ChenW04M,T5,maestro,0.5573
Chopin,Scherzos_31,train,ChenW04M,kong,disklavier,0.2551
Chopin,Scherzos_31,train,ChenW04M,T5,disklavier,0.1715
Chopin,Scherzos_31,train,ChenW04M,oaf,disklavier,0.1934
Chopin,Scherzos_31,train,HuNY08M,kong,maestro,0.5675
Chopin,Scherzos_31,train,HuNY08M,T5,maestro,0.5512
Chopin,Scherzos_31,train,HuNY08M,oaf,maestro,0.4654
Chopin,Scherzos_31,train,HuNY08M,kong,disklavier,0.1612
Chopin,Scherzos_31,train,HuNY08M,T5,disklavier,0.1115
Chopin,Scherzos_31,train,HuNY08M,oaf,disklavier,0.1654
Chopin,Scherzos_31,train,Jussow11M,oaf,maestro,0.4382
Chopin,Scherzos_31,train,Jussow11M,kong,maestro,0.5683
Chopin,Scherzos_31,train,Jussow11M,T5,maestro,0.5797
Chopin,Scherzos_31,train,Jussow11M,oaf,disklavier,0.2083
Chopin,Scherzos_31,train,Jussow11M,T5,disklavier,0.237
Chopin,Scherzos_31,train,Jussow11M,kong,disklavier,0.2785
Chopin,Scherzos_31,train,LeeN04M,oaf,maestro,0.5187
Chopin,Scherzos_31,train,LeeN04M,T5,maestro,0.6141
Chopin,Scherzos_31,train,LeeN04M,kong,maestro,0.6341
Chopin,Scherzos_31,train,LeeN04M,T5,disklavier,0.2487
Chopin,Scherzos_31,train,LeeN04M,kong,disklavier,0.2655
Chopin,Scherzos_31,train,LeeN04M,oaf,disklavier,0.2431
Chopin,Scherzos_31,train,LinTami06M,T5,maestro,0.5363
Chopin,Scherzos_31,train,LinTami06M,kong,maestro,0.5184
Chopin,Scherzos_31,train,LinTami06M,oaf,maestro,0.4451
Chopin,Scherzos_31,train,LinTami06M,kong,disklavier,0.2196
Chopin,Scherzos_31,train,LinTami06M,oaf,disklavier,0.252
Chopin,Scherzos_31,train,LinTami06M,T5,disklavier,0.1886
Chopin,Scherzos_31,train,LuoJ12M,T5,maestro,0.5932
Chopin,Scherzos_31,train,LuoJ12M,kong,maestro,0.5826
Chopin,Scherzos_31,train,LuoJ12M,oaf,maestro,0.4431
Chopin,Scherzos_31,train,LuoJ12M,oaf,disklavier,0.1974
Chopin,Scherzos_31,train,LuoJ12M,kong,disklavier,0.2316
Chopin,Scherzos_31,train,LuoJ12M,T5,disklavier,0.1988
Chopin,Scherzos_31,train,SunD04M,kong,maestro,0.5084
Chopin,Scherzos_31,train,SunD04M,oaf,maestro,0.4343
Chopin,Scherzos_31,train,SunD04M,T5,maestro,0.4881
Chopin,Scherzos_31,train,SunD04M,kong,disklavier,0.1565
Chopin,Scherzos_31,train,SunD04M,T5,disklavier,0.1877
Chopin,Scherzos_31,train,SunD04M,oaf,disklavier,0.1905
Chopin,Scherzos_31,train,TongB04M,kong,maestro,0.6367
Chopin,Scherzos_31,train,TongB04M,T5,maestro,0.6139
Chopin,Scherzos_31,train,TongB04M,oaf,maestro,0.4874
Chopin,Scherzos_31,train,TongB04M,oaf,disklavier,0.2322
Chopin,Scherzos_31,train,TongB04M,kong,disklavier,0.2764
Chopin,Scherzos_31,train,TongB04M,T5,disklavier,0.2457
Chopin,Scherzos_31,train,TuanS05M,kong,maestro,0.6566
Chopin,Scherzos_31,train,TuanS05M,oaf,maestro,0.4755
Chopin,Scherzos_31,train,TuanS05M,T5,maestro,0.5733
Chopin,Scherzos_31,train,TuanS05M,T5,disklavier,0.2234
Chopin,Scherzos_31,train,TuanS05M,oaf,disklavier,0.2161
Chopin,Scherzos_31,train,TuanS05M,kong,disklavier,0.2651
Chopin,Scherzos_31,train,ZhangW04M,T5,maestro,0.5262
Chopin,Scherzos_31,train,ZhangW04M,oaf,maestro,0.5083
Chopin,Scherzos_31,train,ZhangW04M,kong,maestro,0.6052
Chopin,Scherzos_31,train,ZhangW04M,oaf,disklavier,0.2166
Chopin,Scherzos_31,train,ZhangW04M,kong,disklavier,0.1895
Chopin,Scherzos_31,train,ZhangW04M,T5,disklavier,0.1524
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,maestro,0.4374
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,maestro,0.2931
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,maestro,0.4929
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,disklavier,0.0442
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,disklavier,0.1085
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,disklavier,0.0739
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,maestro,0.8231
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,maestro,0.8349
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,maestro,0.4913
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,disklavier,0.1841
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,disklavier,0.2662
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,disklavier,0.4699
Glinka,The_Lark,train,Denisova10M,oaf,maestro,0.8648
Glinka,The_Lark,train,Denisova10M,kong,maestro,0.8926
Glinka,The_Lark,train,Denisova10M,T5,maestro,0.8945
Glinka,The_Lark,train,Denisova10M,oaf,disklavier,0.7599
Glinka,The_Lark,train,Denisova10M,T5,disklavier,0.2668
Glinka,The_Lark,train,Denisova10M,kong,disklavier,0.7548
Glinka,The_Lark,train,Kleisen07M,oaf,maestro,0.4131
Glinka,The_Lark,train,Kleisen07M,kong,maestro,0.4548
Glinka,The_Lark,train,Kleisen07M,T5,maestro,0.5143
Glinka,The_Lark,train,Kleisen07M,oaf,disklavier,0.2057
Glinka,The_Lark,train,Kleisen07M,kong,disklavier,0.1837
Glinka,The_Lark,train,Kleisen07M,T5,disklavier,0.1346
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,oaf,maestro,0.644
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,kong,maestro,0.8086
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,T5,maestro,0.7643
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,kong,disklavier,0.3973
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,T5,disklavier,0.334
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,oaf,disklavier,0.4229
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,oaf,maestro,0.588
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,kong,maestro,0.7454
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,T5,maestro,0.6296
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,T5,disklavier,0.2496
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,oaf,disklavier,0.4598
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,kong,disklavier,0.4645
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,T5,maestro,0.7183
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,kong,maestro,0.7278
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,oaf,maestro,0.6736
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,T5,disklavier,0.2995
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,kong,disklavier,0.377
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,oaf,disklavier,0.5007
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,oaf,maestro,0.6974
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,kong,maestro,0.7985
