composer,title,split,performer,model,recording,peamt
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.4224
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.4031
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.3811
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.0095
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.009
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.0113
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.4544
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.4843
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.4641
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.0133
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.0089
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.0088
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.4869
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.5332
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.4326
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.0126
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.0184
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.0129
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.3996
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.3694
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.5119
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.0088
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.0083
