composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.4037,0.2279,0.0,323.0,1059.0,0.0198,0.167
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.4303,0.3178,0.0,609.0,2470.0,1.1871,0.3928
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.5202,0.4421,0.0,565.0,1736.0,1.5425,2.8815
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.5438,0.2827,0.0,344.0,1024.0,1.5593,0.5084
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.4252,0.4676,0.0,1330.0,12364.0,0.2631,0.0746
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.1594,0.1693,0.0,1632.0,6344.0,3.2282,6.1989
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.4579,0.3069,0.0,1239.0,4782.0,0.1305,0.2663
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.4563,0.1483,0.0,1608.0,5685.0,1.7909,1.2798
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.485,0.3342,0.0,1617.0,6332.0,1.7723,4.6611
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.0367,0.2135,0.0,3538.0,12170.0,2.5441,0.8839
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.5402,0.2336,0.0,1007.0,3744.0,0.1293,0.171
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.1719,0.4336,0.0,2402.0,9847.0,0.1592,0.0576
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.2446,0.036,0.0,1339.0,5670.0,2.1297,6.1611
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.4767,0.2814,0.0,1513.0,6139.0,2.5023,4.9513
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.1093,0.1986,0.0,5373.0,14393.0,0.752,0.7263
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.5177,0.1559,0.0,1572.0,4818.0,1.4008,0.9389
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.403,0.0959,0.0,386.0,1219.0,0.0882,0.1626
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.2647,-0.1102,0.0,456.0,1610.0,0.1263,0.1454
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.1719,0.2887,0.0,478.0,1610.0,4.5817,5.8717
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.353,-0.1033,0.0,516.0,1056.0,4.2588,5.5781
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.1697,-0.0715,0.0,638.0,1741.0,0.3286,0.2788
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.1944,-0.0438,0.0,431.0,931.0,0.254,0.3127
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.5954,0.4491,0.0,458.0,1796.0,2.0222,0.1057
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.1862,0.3442,0.0,1344.0,7696.0,1.4896,0.0746
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.3714,0.1576,0.0,968.0,3686.0,0.9505,4.7179
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.4925,0.5229,0.0,1055.0,3844.0,2.6962,4.5805
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.7087,0.3592,0.0,608.0,2580.0,2.2005,0.3924
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.255,0.397,0.0,1646.0,5922.0,3.2261,0.3565
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.2465,0.2152,0.0,940.0,3624.0,3.1381,5.7649
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.4199,0.2854,0.0,797.0,2502.0,0.0956,0.1658
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.4473,0.492,0.0,2965.0,7501.0,0.698,0.1096
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.4827,0.1171,0.0,788.0,3197.0,2.9393,5.3978
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.35,0.0308,0.0,3008.0,8503.0,0.8057,0.4952
