composer,title,split,performer,model,recording,cd_corr,cm_corr,ts_corr
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.8366,-0.0627,-0.0059
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.7948,0.1275,-0.0576
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.7102,0.2252,-0.0145
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.8168,0.1841,0.0879
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.7233,0.0913,0.0662
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.8111,0.2211,0.0649
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.7563,0.0874,0.016
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.6994,0.2329,-0.0041
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.7139,0.0942,0.0138
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.893,0.13,-0.0485
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.823,0.2497,0.1148
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.8022,0.2307,0.1413
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.6658,0.1893,-0.0575
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.6423,0.0946,0.076
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.6545,0.1708,-0.0167
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.8159,0.1752,-0.024
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.8055,0.1812,-0.003
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.7135,0.1141,0.0369
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.6147,0.1421,-0.0309
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.8875,0.1648,0.004
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.6598,0.0814,-0.0306
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.8898,0.2167,0.0136
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.8513,0.2279,0.0456
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.7807,0.1553,-0.0083
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.6907,0.169,0.0503
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.8574,0.2019,0.0011
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.6089,0.1751,-0.0818
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.8255,0.2319,-0.0039
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.7992,0.2149,0.0387
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.707,0.202,-0.0791
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.598,0.3917,0.1597
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.667,0.4196,0.1584
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.4324,0.074,0.306
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,disklavier,0.7408,0.2127,-0.049
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,disklavier,0.788,0.3119,0.1527
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,disklavier,0.8201,0.383,0.1544
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,maestro,0.6346,0.4036,0.1565
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,maestro,0.6601,0.2829,-0.0308
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.7825,0.3254,0.1903
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.815,0.2892,0.1085
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.8072,0.3469,0.1722
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.7812,0.3371,0.196
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.3219,-0.0249,0.1913
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.5388,0.2708,-0.1655
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.7641,0.1426,-0.1995
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.7362,0.1548,-0.1971
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.6942,0.2188,-0.2073
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.6724,0.0208,-0.258
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.6515,0.2925,-0.1317
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.5318,0.288,0.1435
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.6058,0.3061,-0.1294
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.8259,0.2764,-0.1477
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.3943,0.09,0.1781
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.7685,0.216,-0.104
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.5802,0.242,0.1341
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.9562,0.1683,0.4662
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.5818,0.2546,0.2212
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.8472,0.1602,0.3367
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.8438,0.1219,0.4311
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.8513,0.0987,0.4083
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.8036,0.029,0.0836
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.6724,-0.0532,0.0505
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.7259,0.0953,0.0384
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.9042,-0.1195,-0.1194
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.9283,-0.1556,-0.0829
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.8162,0.0296,0.0117
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.1486,0.0704,-0.2129
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.7615,0.1767,-0.0486
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.7312,0.2173,0.0032
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.6177,0.1489,0.0428
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.5957,0.116,0.0195
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.7893,0.1821,-0.0514
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.8869,0.3135,0.2622
