composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0324,-0.1421,0.0,752.0,1501.0,4.5003,3.7475,l,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0479,-0.0555,0.0,1154.0,9141.0,3.0474,6.9749,l,12
Bach,Fugue_bwv_848,train,kong,disklavier,-0.204,-0.1388,0.0,625.0,1293.0,9.7745,5.8927,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0225,0.0177,0.0,1939.0,12015.0,2.3849,6.7742,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0782,0.2527,0.0,2927.0,6023.0,0.0733,0.078,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6162,0.5011,0.0,701.0,1729.0,0.1444,0.1085,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.792,0.5244,0.0,1316.0,4219.0,3.3161,6.5707,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0548,0.0937,0.0,3396.0,10174.0,0.0838,0.097,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5737,0.531,0.0,845.0,2506.0,0.0676,0.1043,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7894,0.5445,0.0,1233.0,3086.0,3.2917,6.558,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.004,0.1711,0.0,4819.0,21164.0,0.3383,0.1154,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6019,0.4913,0.0,1388.0,5042.0,0.0672,0.1438,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6849,0.4839,0.0,1195.0,3497.0,3.3681,6.5742,norev,12
