composer,title,split,model,recording,p_nov,r_nov,f_nov,reverb,snr
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.8033,0.7925,0.7979,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8066,0.8039,0.8053,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6764,0.6471,0.6614,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5566,0.492,0.5223,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6306,0.6197,0.6251,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6308,0.6002,0.6151,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.156,0.0382,0.0614,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3908,0.3172,0.3502,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.4799,0.4294,0.4532,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0047,0.0005,0.0008,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2451,0.0856,0.1269,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0232,0.0141,0.0176,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1955,0.3655,0.2547,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1187,0.1628,0.1373,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1963,0.192,0.1941,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0607,0.0548,0.0576,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0861,0.0949,0.0903,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1752,0.1618,0.1682,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.007,0.0018,0.0029,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.056,0.0264,0.0359,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0048,0.0027,0.0035,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0039,0.0006,0.0011,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0353,0.0059,0.0101,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0069,0.0017,0.0027,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0886,0.2339,0.1286,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0132,0.027,0.0177,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0675,0.0719,0.0696,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0435,0.0525,0.0476,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.036,0.0516,0.0424,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0609,0.0627,0.0618,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0121,0.0017,0.0029,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.037,0.0188,0.025,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.009,0.0062,0.0074,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0039,0.0006,0.001,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0222,0.0027,0.0049,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0069,0.0029,0.0041,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.3968,0.3975,0.3972,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.6922,0.6854,0.6888,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.5716,0.5248,0.5472,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.4039,0.3624,0.382,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.6338,0.6115,0.6224,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.5671,0.5194,0.5422,norev,24
Chopin,Scherzos_31,train,T5,disklavier,0.0057,0.0022,0.0032,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.5075,0.3745,0.431,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.519,0.4673,0.4918,norev,12
Chopin,Scherzos_31,train,T5,disklavier,0.0009,0.0002,0.0003,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.0106,0.0049,0.0067,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.4068,0.3429,0.3722,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.3198,0.3578,0.3377,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.6142,0.6397,0.6267,s,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.0107,0.0096,0.0101,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.3192,0.251,0.281,s,24
Chopin,Scherzos_31,train,kong,disklavier,0.4868,0.4608,0.4734,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.5033,0.4409,0.47,s,24
Chopin,Scherzos_31,train,T5,disklavier,0.007,0.0012,0.002,s,12
Chopin,Scherzos_31,train,kong,disklavier,0.003,0.0014,0.0019,s,12
Chopin,Scherzos_31,train,oaf,disklavier,0.4241,0.3573,0.3878,s,12
Chopin,Scherzos_31,train,T5,disklavier,0.0,0.0,0.0,s,6
