composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Bach,Fugue_bwv_848,train,kong,disklavier,0.0574,-0.259,0.0,754.0,1504.0,4.6325,3.2953,l,12
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.0061,-0.196,0.0,1157.0,9141.0,4.2051,3.8821,l,12
Bach,Fugue_bwv_848,train,kong,disklavier,-0.5432,-0.4089,0.0,625.0,1293.0,14.8217,4.0447,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.0191,-0.1023,0.0,1940.0,12015.0,3.1456,2.9615,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2391,0.6143,0.0,2924.0,6023.0,0.0644,0.0404,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7508,0.5575,0.0,702.0,1729.0,0.0482,0.1672,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.4663,0.4113,0.0,1328.0,4219.0,3.2334,5.0967,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2941,0.479,0.0,3396.0,10174.0,0.0533,0.0552,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.692,0.4836,0.0,841.0,2506.0,0.057,0.1575,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.4375,0.3945,0.0,1221.0,3086.0,3.2645,5.062,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1424,0.1776,0.0,4821.0,21164.0,0.3213,0.1156,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.587,0.2727,0.0,1385.0,5042.0,0.058,0.2035,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5165,0.4995,0.0,1191.0,3497.0,3.3408,5.1058,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.9985,0.1346,0.0,7650.0,94317.0,16.489,1.7841,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5368,0.2693,0.0,2405.0,7549.0,0.1275,0.2291,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5023,0.399,0.0,1891.0,6010.0,3.4373,5.1228,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2459,0.5968,0.0,3023.0,7878.0,0.1623,0.2197,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8063,0.5306,0.0,1192.0,3210.0,0.2482,0.4666,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5632,0.6989,0.0,1446.0,4699.0,2.8102,5.3073,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2137,0.4489,0.0,5008.0,18562.0,0.4457,0.3001,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7554,0.5244,0.0,1704.0,4295.0,0.5175,0.4766,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5925,0.6473,0.0,1439.0,3551.0,2.7992,5.3307,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.38,0.115,0.0,5957.0,44253.0,2.2864,0.5916,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5591,0.3821,0.0,2738.0,7938.0,1.1686,0.543,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.64,0.6767,0.0,1765.0,4318.0,2.7741,5.3576,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0331,0.0387,0.0,6968.0,77212.0,12.659,4.6201,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3908,0.2186,0.0,3235.0,9863.0,1.8965,0.891,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5495,0.4964,0.0,2939.0,7237.0,2.7326,5.3644,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1138,0.3326,0.0,6711.0,33244.0,1.2735,1.0877,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4087,0.4514,0.0,3531.0,18964.0,0.6917,0.8321,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5871,0.6184,0.0,2030.0,7640.0,2.8077,5.0915,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0272,0.1531,0.0,6245.0,61548.0,4.4591,1.2517,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4973,0.3939,0.0,3394.0,18309.0,1.1922,0.8337,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.5666,0.6914,0.0,2236.0,7657.0,2.8697,5.1319,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0336,-0.0777,0.0,6096.0,104452.0,11.1396,11.1745,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2959,0.2858,0.0,3626.0,15307.0,2.0704,1.0289,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,-0.0487,0.1242,0.0,4610.0,18078.0,2.6925,4.9063,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0556,0.0283,0.0,11381.0,154041.0,16.3659,13.2347,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2445,0.2247,0.0,3245.0,10603.0,4.854,1.6681,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1335,0.1901,0.0,3338.0,11597.0,1.9951,4.7725,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.067,0.1173,0.0,6488.0,121642.0,2.1066,2.0981,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1432,0.1418,0.0,5869.0,84594.0,1.1896,1.449,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2888,0.3538,0.0,3836.0,27454.0,2.836,4.7192,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0708,0.142,0.0,6906.0,92397.0,3.5332,1.8123,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2681,0.2023,0.0,4955.0,45075.0,0.87,1.1769,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3803,0.4153,0.0,3903.0,23716.0,2.8809,4.8355,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2393,0.0233,0.0,6995.0,102282.0,13.4466,9.1472,l,12
