composer,title,split,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127,reverb,snr
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0116,0.0623,0.0195,0.0116,0.0623,0.0195,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0279,0.008,0.0003,-0.0245,0.0059,0.022,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0621,0.0218,-0.0334,-0.0621,0.0218,-0.0334,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0222,-0.0,0.0106,-0.0222,-0.0,0.0106,m,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.044,0.0425,-0.0012,-0.0384,0.0396,0.0163,m,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0493,0.0265,-0.022,-0.0493,0.0265,-0.022,m,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.005,-0.0237,-0.0296,0.005,-0.0237,-0.0296,m,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0252,0.0571,-0.0236,-0.024,0.0722,-0.0232,m,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0527,0.1072,-0.0264,-0.0527,0.1072,-0.0264,m,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0115,0.0517,0.0277,-0.0115,0.0517,0.0277,m,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0596,0.0376,-0.0271,-0.0618,0.0314,-0.0275,m,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0215,0.0329,-0.0089,-0.0215,0.0329,-0.0089,m,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0384,-0.0005,-0.0219,-0.0384,-0.0005,-0.0219,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0197,-0.0039,0.0166,0.0008,0.0297,0.0316,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0578,0.0102,-0.0071,-0.0578,0.0102,-0.0071,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0069,-0.0276,-0.0158,-0.0069,-0.0276,-0.0158,l,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0252,0.0374,-0.0188,-0.018,0.0331,-0.0127,l,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0798,0.0194,-0.0409,-0.0798,0.0194,-0.0409,l,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0086,0.016,nan,0.0086,0.016,nan,l,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0054,0.0181,-0.0387,-0.013,0.0342,-0.0385,l,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0264,0.0107,-0.0214,-0.0264,0.0107,-0.0214,l,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0086,0.016,0.0349,0.0086,0.016,0.0349,l,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0,0.0816,-0.0955,-0.0016,0.0817,-0.0925,l,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0294,0.003,0.0227,-0.0294,0.003,0.0227,l,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0005,0.0249,0.0234,0.0005,0.0249,0.0234,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,-0.0033,0.0848,0.0559,-0.002,0.0777,0.0613,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0214,0.0976,0.0573,0.0214,0.0976,0.0573,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0137,0.0241,0.0477,0.0137,0.0241,0.0477,norev,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.008,0.0747,0.0711,0.004,0.0727,0.063,norev,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0252,0.1036,0.0758,0.0252,0.1036,0.0758,norev,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0056,0.0145,0.0191,-0.0056,0.0145,0.0191,norev,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0583,0.0626,0.1123,0.054,0.0602,0.1049,norev,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0311,0.137,0.0878,0.0311,0.137,0.0878,norev,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0352,-0.0051,-0.0238,-0.0352,-0.0051,-0.0238,norev,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0251,0.0929,0.0419,0.0214,0.0876,0.0429,norev,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0673,0.0989,0.1358,0.0673,0.0989,0.1358,norev,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0511,0.0701,0.1037,0.0511,0.0701,0.1037,s,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0142,0.1113,0.0761,0.0013,0.1062,0.0594,s,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0103,0.1169,0.0653,0.0103,0.1169,0.0653,s,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0203,-0.0044,0.0591,0.0203,-0.0044,0.0591,s,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0211,0.0381,0.0555,0.016,0.0137,0.0533,s,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0185,0.0655,0.0779,0.0185,0.0655,0.0779,s,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0338,0.0819,-0.0351,-0.0338,0.0819,-0.0351,s,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0385,0.0612,0.0718,0.0396,0.0607,0.0719,s,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0188,0.0712,0.0756,0.0188,0.0712,0.0756,s,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0079,0.0001,0.007,0.0079,0.0001,0.007,s,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,-0.0361,-0.0059,-0.0015,-0.0361,-0.0059,-0.0015,s,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0241,0.053,0.0597,0.0241,0.053,0.0597,s,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.019,0.0561,0.0079,-0.019,0.0561,0.0079,m,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0237,0.0727,0.0614,0.0053,0.1008,0.0475,m,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0053,0.0743,0.0336,0.0053,0.0743,0.0336,m,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0085,-0.007,0.0339,0.0085,-0.007,0.0339,m,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0636,0.0247,0.1383,0.0668,0.0232,0.1332,m,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0014,0.0973,0.0642,0.0014,0.0973,0.0642,m,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0948,0.0096,0.0259,-0.0948,0.0096,0.0259,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.006,0.0412,0.0033,0.006,0.0413,0.0032,m,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0131,0.0871,0.0647,0.0131,0.0871,0.0647,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,-0.083,-0.0116,0.0266,-0.083,-0.0116,0.0266,m,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0313,0.0855,0.0531,0.0313,0.0855,0.0531,m,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0084,0.0416,0.018,0.0084,0.0416,0.018,l,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0524,0.0252,0.0444,0.0413,0.0018,0.0481,l,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0325,0.0381,0.031,0.0325,0.0381,0.031,l,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0134,0.0879,0.036,0.0134,0.0879,0.036,l,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0477,0.0474,0.0745,0.0534,0.1083,0.088,l,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0599,0.0634,0.0946,0.0599,0.0634,0.0946,l,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0019,0.0271,-0.003,-0.0019,0.0271,-0.003,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.003,0.0787,-0.0142,0.0031,0.0816,-0.0148,l,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.055,0.0299,0.0504,0.055,0.0299,0.0504,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,-0.1201,-0.0269,-0.011,-0.1201,-0.0266,-0.0105,l,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.0291,0.0984,0.0351,0.0291,0.0984,0.0351,l,6
