composer,title,split,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127,reverb,snr
Bach,Fugue_bwv_848,train,kong,disklavier,-0.1662,0.1692,-0.0527,-0.1662,0.1692,-0.0527,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.025,0.0084,0.0294,-0.025,0.0084,0.0294,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2525,0.5962,0.2349,0.2525,0.5962,0.2349,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6691,0.8274,0.6981,0.6971,0.8273,0.7002,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3996,0.4875,0.4142,0.3996,0.4875,0.4142,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1856,0.3375,0.1873,0.1856,0.3375,0.1873,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6802,0.8678,0.6936,0.6882,0.8718,0.6989,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3771,0.3253,0.3767,0.3771,0.3253,0.3767,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1367,0.2328,0.1282,0.1367,0.2328,0.1282,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5164,0.651,0.5304,0.5562,0.6715,0.5628,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3124,0.2216,0.3027,0.3124,0.2216,0.3027,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1582,0.1008,0.1918,0.1582,0.1008,0.1918,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4127,0.564,0.4686,0.4157,0.5664,0.4756,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3787,0.3291,0.4928,0.3787,0.3291,0.4928,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2197,0.3136,0.1736,0.2197,0.3136,0.1736,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4406,0.4626,0.4394,0.4409,0.4644,0.4403,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3086,0.2348,0.332,0.3086,0.2348,0.332,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0996,0.3213,0.1045,0.0996,0.3213,0.1045,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4637,0.5354,0.3996,0.4807,0.5457,0.4189,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2883,0.2233,0.3118,0.2883,0.2233,0.3118,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1433,0.1008,0.0593,0.1433,0.1008,0.0593,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.362,0.4644,0.3363,0.36,0.4651,0.3678,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3182,0.2185,0.3334,0.3182,0.2185,0.3334,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0327,0.0258,0.0005,0.0327,0.0258,0.0005,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1022,0.1614,0.0571,0.0986,0.1626,0.0495,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2278,0.1213,0.174,0.2278,0.1213,0.174,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1027,0.0588,0.0818,0.1027,0.0588,0.0818,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2151,0.2044,0.1958,0.1772,0.1945,0.1619,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2606,0.1145,0.2099,0.2606,0.1145,0.2099,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0327,0.0114,0.0227,0.0327,0.0114,0.0227,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.2165,0.2188,0.1635,0.2245,0.2174,0.1625,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.2342,0.1191,0.1799,0.2342,0.1191,0.1799,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0185,0.0731,-0.0313,-0.0185,0.0731,-0.0313,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.094,0.2762,0.0527,0.1277,0.2509,0.062,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1001,0.1686,0.0844,0.1001,0.1686,0.0844,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.1018,-0.0099,0.049,0.1018,-0.0099,0.049,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0707,0.178,0.0708,0.0822,0.0996,0.0886,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0224,0.0344,0.0058,0.0224,0.0344,0.0058,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0429,0.068,0.0167,0.0429,0.068,0.0167,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0849,0.0366,0.0502,0.0808,0.0626,0.0481,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1222,0.1461,0.0641,0.1222,0.1461,0.0641,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0599,0.0795,0.022,0.0599,0.0795,0.022,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1628,0.1031,0.0606,0.1591,0.1222,0.0609,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1647,0.1149,0.1576,0.1647,0.1149,0.1576,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0534,-0.0741,-0.0013,-0.0534,-0.0741,-0.0013,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1134,0.1667,0.0686,0.1091,0.1008,0.0717,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0579,0.0432,0.0305,0.0579,0.0432,0.0305,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.0264,-0.0243,-0.0457,-0.0264,-0.0243,-0.0457,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.0902,0.1576,0.0772,0.0944,0.1122,0.0725,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0743,0.1796,0.0422,0.0743,0.1796,0.0422,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.0574,0.0323,0.0403,0.0574,0.0323,0.0403,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.1255,0.0766,0.1131,0.1239,0.0769,0.1245,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.1091,0.0548,0.1172,0.1091,0.0548,0.1172,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.0826,0.0039,0.0664,0.0826,0.0039,0.0664,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.1344,0.0804,0.108,0.1308,0.0817,0.1135,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.1065,0.0869,0.0967,0.1065,0.0869,0.0967,norev,24
Chopin,Scherzos_31,train,T5,disklavier,0.0467,-0.0083,-0.0057,0.0467,-0.0083,-0.0057,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.1149,0.0764,0.0845,0.1014,0.0672,0.081,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.117,0.0629,0.1103,0.117,0.0629,0.1103,norev,12
Chopin,Scherzos_31,train,T5,disklavier,-0.002,0.0169,-0.0369,-0.002,0.0169,-0.0369,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.0985,0.0722,0.0849,0.0972,0.0699,0.0829,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.0912,0.0526,0.0899,0.0912,0.0526,0.0899,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.0889,-0.0044,0.0549,0.0889,-0.0044,0.0549,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.1148,0.0567,0.0898,0.1032,0.0639,0.0911,s,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.1068,0.0211,0.0846,0.1068,0.0211,0.0846,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1066,0.0184,0.0618,0.1066,0.0184,0.0618,s,24
Chopin,Scherzos_31,train,kong,disklavier,0.1375,0.0274,0.0962,0.137,0.0256,0.0937,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.1066,0.0422,0.0715,0.1066,0.0422,0.0715,s,24
