composer,title,split,performer,model,recording,cd_corr,cm_corr,ts_corr
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.491,0.1799,0.2226
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.936,0.2861,0.5657
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.5731,0.1825,0.2725
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.7074,0.1926,0.4342
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.7198,0.1889,0.4382
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.6827,0.0504,0.6432
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.5176,0.1215,0.5389
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.6901,0.0584,0.651
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.4179,0.0514,0.2543
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.5571,0.1678,0.6721
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.5408,0.1495,0.6578
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.7795,0.3361,0.7326
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.8358,0.3441,0.7313
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.4899,0.1915,0.5109
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.671,0.2388,0.76
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.3054,0.1447,0.4823
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.6863,0.2251,0.7598
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.5524,0.2024,0.6886
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.742,0.2918,0.7584
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.6192,0.2512,0.6016
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.3682,0.2177,0.4967
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.7791,0.3546,0.7809
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.7991,0.2918,0.7688
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.5732,0.1579,0.5271
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.9024,0.2877,0.7528
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.7515,0.218,0.7774
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.762,0.2191,0.7741
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.7609,0.2073,0.7718
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.3627,0.1109,0.4836
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.937,0.3639,0.8087
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.7256,0.1505,0.7464
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.707,0.1069,0.5348
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.6868,0.1195,0.3528
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.7292,0.1775,0.6793
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.7428,0.1739,0.6931
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.6907,0.1054,0.2994
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.9101,0.3182,0.4665
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.9154,0.3243,0.7907
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,0.711,0.0849,0.5203
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.7489,0.1753,0.7524
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.7582,0.1517,0.7307
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.7495,0.149,0.4222
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.9706,0.9748,0.997
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.705,0.0753,0.5869
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.6611,0.149,0.3845
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.6344,0.1533,0.2319
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.6773,0.1481,0.3823
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.6351,0.1981,0.4025
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.9984,0.9306,0.9913
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.9382,0.3938,0.6847
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.621,0.1273,0.3341
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.6404,0.1072,0.3938
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.6398,0.116,0.3786
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.6361,0.1477,0.2194
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.7516,0.17,0.9194
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.8944,0.2546,0.9727
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.4855,0.1328,0.1744
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.6319,0.1418,0.2187
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.6352,0.1397,0.2176
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.8813,0.244,0.9685
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.9338,0.1848,0.8102
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.6443,0.1403,0.2232
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.6282,0.1279,0.2246
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.6401,0.1266,0.5311
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.6462,0.1336,0.2232
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.6543,0.1531,0.3924
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.7618,-0.0125,0.3372
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.7735,0.0541,0.4309
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.6528,0.1541,0.3863
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.5905,0.0702,0.3526
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.6455,0.1478,0.3828
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.8741,0.1927,0.961
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.9046,0.261,0.9771
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.6226,0.1759,0.2039
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.6226,0.1721,0.2105
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.619,0.1684,0.211
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.6195,0.1722,0.209
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.8513,0.1581,0.9231
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.9057,0.2579,0.9734
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.6373,0.1325,0.2337
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.6373,0.1332,0.2371
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.6373,0.1363,0.2399
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.6386,0.1573,0.1885
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.7658,0.2561,0.6907
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.8738,0.5912,0.8826
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.7769,0.5961,0.9035
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.7606,0.3549,0.8666
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.7039,0.263,0.644
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.749,0.3444,0.837
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.8988,0.4717,0.8435
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.9884,0.9423,0.9829
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.6525,0.19,0.5963
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.6825,0.1336,0.2829
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.8224,0.2937,0.861
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.8156,0.2622,0.8391
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.7669,0.2391,0.6877
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.8283,0.2788,0.8378
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.9065,0.5685,0.8957
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.7906,0.3082,0.8553
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.6648,0.2063,0.5839
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.7764,0.2962,0.8078
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.8729,0.6173,0.9047
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.8795,0.6007,0.8954
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.6884,0.2442,0.4358
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.785,0.2801,0.8041
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.7474,0.2479,0.6084
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.5802,0.1678,0.7528
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.8554,0.5332,0.817
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.9188,0.6443,0.9307
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.8991,0.5996,0.9248
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.8203,0.2836,0.8493
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.7871,0.2787,0.8612
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.7418,0.2892,0.5008
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.9608,0.8898,0.9692
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.9756,0.9262,0.9763
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.8186,0.6797,0.7403
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.8037,0.2905,0.6959
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.7355,0.2866,0.6339
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,disklavier,0.7923,0.313,0.8184
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,maestro,0.9265,0.6342,0.9265
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,maestro,0.814,0.3042,0.8683
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,maestro,0.6797,0.2568,0.6338
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,disklavier,0.7105,0.1805,0.1584
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,disklavier,0.737,0.2892,0.8676
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,disklavier,0.817,0.3285,0.8324
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,maestro,0.7146,0.3015,0.4572
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,maestro,0.8927,0.6109,0.9231
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,maestro,0.8,0.3346,0.8632
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,disklavier,0.7423,0.3316,0.8315
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,disklavier,0.7579,0.2991,0.8548
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,disklavier,0.632,0.2105,0.5266
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,maestro,0.7151,0.2727,0.8082
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,maestro,0.7789,0.3314,0.8693
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,maestro,0.8124,0.3003,0.8479
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,disklavier,0.6864,0.2305,0.4381
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,disklavier,0.7654,0.2999,0.8132
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,disklavier,0.7495,0.2649,0.7872
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,maestro,0.9167,0.5908,0.9154
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,maestro,0.9225,0.6308,0.9181
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,maestro,0.7259,0.3208,0.7231
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,disklavier,0.5979,0.1623,0.8081
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,disklavier,0.6129,0.2485,0.575
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,disklavier,0.7548,0.3272,0.8576
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,maestro,0.8778,0.5971,0.9038
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,maestro,0.8216,0.3275,0.8591
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,maestro,0.7705,0.2657,0.6454
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,disklavier,0.8272,0.3429,0.8536
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,disklavier,0.63,0.2329,0.0835
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,disklavier,0.8079,0.3172,0.8497
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,maestro,0.6939,0.2548,0.6599
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,maestro,0.9101,0.6054,0.9078
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,maestro,0.9395,0.6276,0.8795
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,disklavier,0.8089,0.3148,0.8478
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,disklavier,0.7908,0.2776,0.8552
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,disklavier,0.6141,0.164,0.5032
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,maestro,0.9268,0.564,0.9249
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,maestro,0.8986,0.5802,0.9191
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,maestro,0.7836,0.3409,0.7392
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,disklavier,0.5764,0.1799,0.3437
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,disklavier,0.7787,0.2676,0.8067
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,disklavier,0.7816,0.2594,0.8194
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,maestro,0.8781,0.7347,0.7656
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,maestro,0.9085,0.6264,0.9175
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,maestro,0.929,0.6287,0.9211
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,disklavier,0.7119,0.3137,0.8092
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,disklavier,0.7829,0.3407,0.8268
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,disklavier,0.7185,0.2687,0.5574
Chopin,Scherzos_31,train,ChenW04M,oaf,maestro,0.9459,0.4701,0.8801
Chopin,Scherzos_31,train,ChenW04M,kong,maestro,0.9561,0.4745,0.8726
Chopin,Scherzos_31,train,ChenW04M,T5,maestro,0.7227,0.1575,0.6914
Chopin,Scherzos_31,train,ChenW04M,kong,disklavier,0.7871,0.1607,0.7995
Chopin,Scherzos_31,train,ChenW04M,T5,disklavier,0.6804,0.1036,-0.0943
Chopin,Scherzos_31,train,ChenW04M,oaf,disklavier,0.7848,0.1717,0.793
Chopin,Scherzos_31,train,HuNY08M,kong,maestro,0.7558,0.179,0.827
Chopin,Scherzos_31,train,HuNY08M,T5,maestro,0.7128,0.1269,0.6859
Chopin,Scherzos_31,train,HuNY08M,oaf,maestro,0.9231,0.5053,0.8976
Chopin,Scherzos_31,train,HuNY08M,kong,disklavier,0.7536,0.1767,0.8236
Chopin,Scherzos_31,train,HuNY08M,T5,disklavier,0.479,0.112,0.3484
Chopin,Scherzos_31,train,HuNY08M,oaf,disklavier,0.7413,0.2023,0.8196
Chopin,Scherzos_31,train,Jussow11M,oaf,maestro,0.9535,0.9141,0.984
Chopin,Scherzos_31,train,Jussow11M,kong,maestro,0.9244,0.9528,0.9906
Chopin,Scherzos_31,train,Jussow11M,T5,maestro,0.8828,0.4022,0.8006
Chopin,Scherzos_31,train,Jussow11M,oaf,disklavier,0.7639,0.1994,0.8294
Chopin,Scherzos_31,train,Jussow11M,T5,disklavier,0.5591,0.1352,0.1365
Chopin,Scherzos_31,train,Jussow11M,kong,disklavier,0.7478,0.1836,0.8301
Chopin,Scherzos_31,train,LeeN04M,oaf,maestro,0.9224,0.5096,0.9074
Chopin,Scherzos_31,train,LeeN04M,T5,maestro,0.8942,0.782,0.8678
Chopin,Scherzos_31,train,LeeN04M,kong,maestro,0.7657,0.1954,0.8307
Chopin,Scherzos_31,train,LeeN04M,T5,disklavier,0.5619,0.115,0.5203
Chopin,Scherzos_31,train,LeeN04M,kong,disklavier,0.7564,0.2038,0.8224
Chopin,Scherzos_31,train,LeeN04M,oaf,disklavier,0.7647,0.1878,0.8336
Chopin,Scherzos_31,train,LinTami06M,T5,maestro,0.4969,0.3439,0.4492
Chopin,Scherzos_31,train,LinTami06M,kong,maestro,0.9453,0.5243,0.8908
Chopin,Scherzos_31,train,LinTami06M,oaf,maestro,0.9238,0.5105,0.8933
Chopin,Scherzos_31,train,LinTami06M,kong,disklavier,0.7931,0.1863,0.8123
Chopin,Scherzos_31,train,LinTami06M,oaf,disklavier,0.7597,0.1751,0.8034
Chopin,Scherzos_31,train,LinTami06M,T5,disklavier,0.751,0.1015,0.7
Chopin,Scherzos_31,train,LuoJ12M,T5,maestro,0.5416,0.146,0.6006
Chopin,Scherzos_31,train,LuoJ12M,kong,maestro,0.9484,0.5405,0.9006
Chopin,Scherzos_31,train,LuoJ12M,oaf,maestro,0.9,0.5022,0.8966
Chopin,Scherzos_31,train,LuoJ12M,oaf,disklavier,0.8134,0.3861,0.944
