composer,title,split,performer,model,recording,cd_corr,cm_corr,ts_corr
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,maestro,0.7322,0.1121,0.7108
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,maestro,0.532,0.0932,0.4556
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,maestro,0.8061,0.2244,0.6656
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,oaf,disklavier,0.7237,0.0878,0.6892
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,T5,disklavier,0.5051,0.1078,0.3814
Beethoven,Piano_Sonatas_18-1,test,ChenGuang03M,kong,disklavier,0.7064,0.0969,0.7049
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,maestro,0.7185,0.187,0.7398
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,maestro,0.8199,0.2564,0.6849
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,maestro,0.4962,0.0878,0.2799
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,T5,disklavier,0.6105,0.1017,0.5894
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,oaf,disklavier,0.7219,0.1565,0.7186
Beethoven,Piano_Sonatas_18-1,test,KOLESO06M,kong,disklavier,0.7076,0.1615,0.7215
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,maestro,0.8233,0.3331,0.7439
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,maestro,0.4864,0.1127,0.3905
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,maestro,0.8053,0.281,0.7364
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,kong,disklavier,0.6438,0.1489,0.7187
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,oaf,disklavier,0.641,0.1303,0.6864
Beethoven,Piano_Sonatas_18-1,test,LeungR02M,T5,disklavier,0.5529,0.0906,0.0683
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,maestro,0.7771,0.2725,0.7176
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,maestro,0.7465,0.1452,0.743
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,maestro,0.5509,0.093,0.2172
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,kong,disklavier,0.7218,0.1402,0.7384
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,oaf,disklavier,0.7081,0.1218,0.7185
Beethoven,Piano_Sonatas_18-1,test,Levitsky05M,T5,disklavier,0.6155,0.108,0.5202
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,maestro,0.6907,0.4652,0.1914
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,maestro,0.6968,0.1463,0.7603
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,maestro,0.754,0.2907,0.6145
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,kong,disklavier,0.6624,0.1096,0.7479
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,T5,disklavier,0.6382,0.1007,0.0906
Beethoven,Piano_Sonatas_18-1,test,ZhangH05M,oaf,disklavier,0.6501,0.1247,0.5253
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,maestro,0.7428,0.408,0.7469
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,maestro,0.8034,0.4108,0.7639
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,maestro,0.4427,0.2053,0.4045
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,T5,disklavier,0.5571,0.2329,0.1019
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,oaf,disklavier,0.5734,0.2852,0.6335
Beethoven,Piano_Sonatas_18-4,test,ChenGuang06M,kong,disklavier,0.622,0.2925,0.6826
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,maestro,0.7778,0.4188,0.7677
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,maestro,0.5984,0.289,0.4032
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,maestro,0.6201,0.2776,0.6968
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,T5,disklavier,0.619,0.226,0.618
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,oaf,disklavier,0.6149,0.277,0.6803
Beethoven,Piano_Sonatas_18-4,test,KOLESO06M,kong,disklavier,0.6165,0.2882,0.6871
Chopin,Polonaises_53,test,Chon08M,T5,maestro,0.2138,0.1929,0.3923
Chopin,Polonaises_53,test,Chon08M,oaf,maestro,0.7818,0.8517,0.9685
Chopin,Polonaises_53,test,Chon08M,kong,maestro,0.656,0.2359,0.8189
Chopin,Polonaises_53,test,Chon08M,kong,disklavier,0.63,0.2411,0.7916
Chopin,Polonaises_53,test,Chon08M,oaf,disklavier,0.5979,0.2473,0.7803
Chopin,Polonaises_53,test,Chon08M,T5,disklavier,0.5913,0.1813,0.3049
Chopin,Polonaises_53,test,YeF11M,kong,maestro,0.8576,0.368,0.8814
Chopin,Polonaises_53,test,YeF11M,T5,maestro,0.6952,0.2694,0.2738
Chopin,Polonaises_53,test,YeF11M,oaf,maestro,0.7914,0.3575,0.8684
Chopin,Polonaises_53,test,YeF11M,oaf,disklavier,0.6494,0.2123,0.8315
Chopin,Polonaises_53,test,YeF11M,T5,disklavier,0.2555,0.1286,0.2764
Chopin,Polonaises_53,test,YeF11M,kong,disklavier,0.5856,0.2195,0.8457
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.8499,0.1461,0.3939
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.9562,0.6027,0.8805
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.8504,0.1563,0.3655
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.5884,0.1508,0.1059
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.57,0.1597,0.0588
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.5438,0.156,0.1152
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.947,0.33,0.915
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.4784,0.0782,0.2465
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.9105,0.4805,0.4037
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.6957,0.027,0.6396
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.7222,0.0464,0.6718
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.5415,0.0372,0.556
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.4297,0.1963,0.1152
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.4326,0.1702,0.7239
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.4026,0.1655,-0.4873
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.3703,0.1462,0.6009
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.3797,0.1298,-0.4443
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.4632,0.1499,0.7317
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.9535,0.6075,0.8673
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.6583,0.2905,0.6475
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.9371,0.5794,0.8063
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.8644,0.3447,0.7866
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.7941,0.2384,0.5854
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.5897,0.1821,0.3327
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.7212,0.1871,0.3923
