composer,title,split,model,recording,dyn_corr,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.437,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.5756,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4331,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.5077,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.5518,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4322,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,-0.4732,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.5071,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4401,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,-0.2007,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0699,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4362,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0256,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.537,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4171,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0563,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.4614,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4015,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,-0.2365,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.141,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4405,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0019,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,-0.5316,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.5287,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,-0.1256,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.2788,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3818,m,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,-0.0777,m,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.3491,m,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4012,m,24
Bach,Fugue_bwv_848,train,T5,disklavier,-0.2042,m,12
Bach,Fugue_bwv_848,train,kong,disklavier,-0.1704,m,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0221,m,12
Bach,Fugue_bwv_848,train,T5,disklavier,-0.3981,m,6
Bach,Fugue_bwv_848,train,kong,disklavier,-0.4193,m,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.5877,m,6
Bach,Fugue_bwv_848,train,T5,disklavier,-0.1899,l,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,-0.0509,l,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,-0.0336,l,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,-0.5551,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,-0.028,l,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0331,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.132,l,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0232,l,12
Bach,Fugue_bwv_848,train,kong,disklavier,-0.4045,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4059,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.8309,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.8096,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7741,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.7822,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.749,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7721,norev,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5658,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.691,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7337,norev,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.4403,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5189,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.1751,norev,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.7578,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.7277,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7221,s,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.6789,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6314,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7133,s,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,-0.012,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5171,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6967,s,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.317,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4259,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,-0.0084,s,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5691,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.6404,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.7197,m,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.3017,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.5136,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.3317,m,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0535,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3679,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,-0.0341,m,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.2958,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3349,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0337,m,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5706,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.1845,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6572,l,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.292,l,24
