composer,title,split,model,recording,dyn_corr,reverb,snr
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.4999,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.6643,l,24
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.5422,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3125,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0231,l,12
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.0264,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.3029,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,oaf,maestro,0.0128,l,6
Chopin,Scherzos_31,train,T5,disklavier,0.2398,norev,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.2777,norev,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.2066,norev,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1813,norev,24
Chopin,Scherzos_31,train,kong,disklavier,0.2803,norev,24
Chopin,Scherzos_31,train,oaf,disklavier,0.2078,norev,24
Chopin,Scherzos_31,train,T5,disklavier,0.0567,norev,12
Chopin,Scherzos_31,train,kong,disklavier,0.2424,norev,12
Chopin,Scherzos_31,train,oaf,disklavier,0.21,norev,12
Chopin,Scherzos_31,train,T5,disklavier,0.0173,norev,6
Chopin,Scherzos_31,train,kong,disklavier,0.1775,norev,6
Chopin,Scherzos_31,train,oaf,disklavier,0.1668,norev,6
Chopin,Scherzos_31,train,T5,disklavier,0.1764,s,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.2238,s,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.1698,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1577,s,24
Chopin,Scherzos_31,train,kong,disklavier,0.2459,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.2092,s,24
Chopin,Scherzos_31,train,T5,disklavier,0.0719,s,12
Chopin,Scherzos_31,train,kong,disklavier,0.1951,s,12
Chopin,Scherzos_31,train,oaf,disklavier,0.1833,s,12
Chopin,Scherzos_31,train,T5,disklavier,-0.0536,s,6
Chopin,Scherzos_31,train,kong,disklavier,0.1754,s,6
Chopin,Scherzos_31,train,oaf,disklavier,0.1402,s,6
Chopin,Scherzos_31,train,T5,disklavier,0.1057,m,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.2505,m,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.2049,m,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1215,m,24
Chopin,Scherzos_31,train,kong,disklavier,0.1486,m,24
Chopin,Scherzos_31,train,oaf,disklavier,0.2204,m,24
Chopin,Scherzos_31,train,T5,disklavier,0.0776,m,12
Chopin,Scherzos_31,train,kong,disklavier,0.0946,m,12
Chopin,Scherzos_31,train,oaf,disklavier,-0.0029,m,12
Chopin,Scherzos_31,train,T5,disklavier,-0.0054,m,6
Chopin,Scherzos_31,train,kong,disklavier,0.1278,m,6
Chopin,Scherzos_31,train,oaf,disklavier,-0.0626,m,6
Chopin,Scherzos_31,train,T5,disklavier,0.106,l,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.1629,l,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.1371,l,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.0233,l,24
Chopin,Scherzos_31,train,kong,disklavier,0.1613,l,24
Chopin,Scherzos_31,train,oaf,disklavier,0.1786,l,24
Chopin,Scherzos_31,train,T5,disklavier,0.0329,l,12
Chopin,Scherzos_31,train,kong,disklavier,0.0977,l,12
Chopin,Scherzos_31,train,oaf,disklavier,0.1282,l,12
Chopin,Scherzos_31,train,T5,disklavier,0.092,l,6
Chopin,Scherzos_31,train,kong,disklavier,0.1477,l,6
Chopin,Scherzos_31,train,oaf,disklavier,-0.0531,l,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.4558,norev,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4884,norev,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4172,norev,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3826,norev,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4568,norev,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.3631,norev,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0493,norev,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1301,norev,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.2816,norev,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0636,norev,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0502,norev,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1082,norev,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2224,s,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.3045,s,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.3102,s,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2759,s,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2346,s,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.2971,s,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0241,s,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0153,s,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1897,s,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0673,s,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0677,s,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,-0.0114,s,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0707,m,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0893,m,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.2065,m,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0424,m,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.1833,m,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1225,m,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0512,m,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0765,m,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0197,m,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0371,m,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0725,m,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1492,m,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0856,l,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0634,l,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1547,l,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0774,l,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0732,l,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1525,l,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.075,l,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0541,l,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0634,l,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0511,l,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0301,l,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,-0.079,l,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1196,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1096,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1148,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1336,norev,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1039,norev,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1119,norev,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.2804,norev,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1141,norev,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0665,norev,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1798,norev,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0877,norev,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0368,norev,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1418,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1332,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1358,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1512,s,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1121,s,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1163,s,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.2062,s,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1086,s,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1349,s,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0739,s,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.2262,s,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0286,s,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0338,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0526,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1266,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.276,m,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.175,m,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1128,m,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1151,m,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.2149,m,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1396,m,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1013,m,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1953,m,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.3383,m,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1333,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1339,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0579,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.2623,l,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0622,l,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.1052,l,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0055,l,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.1807,l,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0676,l,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.015,l,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.2147,l,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0465,l,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3373,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3628,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3181,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3119,norev,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3584,norev,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3661,norev,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2496,norev,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.299,norev,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3496,norev,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0439,norev,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.117,norev,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3378,norev,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1721,s,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.253,s,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.175,s,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1958,s,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.2886,s,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3352,s,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0508,s,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.1539,s,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3212,s,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.1,s,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.0597,s,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.1756,s,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0104,m,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.24,m,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.299,m,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0425,m,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3627,m,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3187,m,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0015,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,-0.0733,m,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3047,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,-0.1703,m,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.1306,m,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0075,l,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.1409,l,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.2929,l,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.0686,l,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.2286,l,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.3315,l,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0033,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,-0.0397,l,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.2426,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,-0.1381,l,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.1537,l,6
