composer,title,split,performer,model,recording,p_f,r_f,f_f
Chopin,Sonata_2_4th,test,KaszoS16M,kong,maestro,0.7494,0.926,0.8284
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,maestro,0.7139,0.8501,0.7761
Chopin,Sonata_2_4th,test,KaszoS16M,T5,maestro,0.7399,0.8494,0.7908
Chopin,Sonata_2_4th,test,KaszoS16M,oaf,disklavier,0.8434,0.6762,0.7506
Chopin,Sonata_2_4th,test,KaszoS16M,T5,disklavier,0.7302,0.6147,0.6675
Chopin,Sonata_2_4th,test,KaszoS16M,kong,disklavier,0.7841,0.7042,0.742
Debussy,Pour_le_Piano_1,test,MunA12M,kong,maestro,0.9329,0.9367,0.9348
Debussy,Pour_le_Piano_1,test,MunA12M,T5,maestro,0.6507,0.9235,0.7635
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,maestro,0.9085,0.8198,0.8619
Debussy,Pour_le_Piano_1,test,MunA12M,T5,disklavier,0.7736,0.751,0.7622
Debussy,Pour_le_Piano_1,test,MunA12M,oaf,disklavier,0.964,0.7466,0.8415
Debussy,Pour_le_Piano_1,test,MunA12M,kong,disklavier,0.9511,0.8475,0.8963
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,maestro,0.8385,0.8349,0.8367
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,maestro,0.6038,0.8415,0.7031
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,maestro,0.874,0.8982,0.8859
Liszt,Transcendental_Etudes_10,test,LeungM06M,T5,disklavier,0.5607,0.7077,0.6257
Liszt,Transcendental_Etudes_10,test,LeungM06M,oaf,disklavier,0.9087,0.8054,0.854
Liszt,Transcendental_Etudes_10,test,LeungM06M,kong,disklavier,0.896,0.8565,0.8758
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,maestro,0.3316,0.6552,0.4403
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,maestro,0.6207,0.6347,0.6276
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,maestro,0.6173,0.5572,0.5857
Liszt,Transcendental_Etudes_11,test,Huang18M,kong,disklavier,0.788,0.5393,0.6403
Liszt,Transcendental_Etudes_11,test,Huang18M,T5,disklavier,0.3311,0.388,0.3573
Liszt,Transcendental_Etudes_11,test,Huang18M,oaf,disklavier,0.7837,0.4569,0.5773
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,maestro,0.9193,0.8824,0.9005
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,maestro,0.5458,0.92,0.6851
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,maestro,0.9258,0.9489,0.9372
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,oaf,disklavier,0.9649,0.8021,0.876
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,kong,disklavier,0.9528,0.8645,0.9065
Rachmaninoff,Preludes_op_23_6,test,Nikiforov14M,T5,disklavier,0.5779,0.7611,0.6569
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,maestro,0.833,0.9655,0.8944
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,maestro,0.5331,0.9463,0.682
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,maestro,0.7852,0.9324,0.8525
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,kong,disklavier,0.9147,0.6369,0.7509
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,T5,disklavier,0.3299,0.4624,0.385
Schubert,Impromptu_op.90_D.899_4,test,Huang10M,oaf,disklavier,0.919,0.5884,0.7174
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,maestro,0.6491,0.9358,0.7665
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,maestro,0.9258,0.9407,0.9332
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,maestro,0.9383,0.9652,0.9516
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,kong,disklavier,0.9418,0.9119,0.9266
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,T5,disklavier,0.5106,0.8295,0.6321
Schubert,Impromptu_op.90_D.899_4,test,Lin11M,oaf,disklavier,0.9552,0.8549,0.9023
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,maestro,0.5288,0.954,0.6804
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,maestro,0.8981,0.9392,0.9182
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,maestro,0.9149,0.9772,0.945
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,oaf,disklavier,0.9442,0.8285,0.8826
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,kong,disklavier,0.92,0.8768,0.8979
Schubert,Impromptu_op.90_D.899_4,test,LuoJ09M,T5,disklavier,0.4788,0.8093,0.6017
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.9301,0.941,0.9355
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.5037,0.9673,0.6624
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.9425,0.9798,0.9608
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.9318,0.9113,0.9214
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.9457,0.8402,0.8898
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.4751,0.8262,0.6033
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.665,0.9305,0.7757
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.9025,0.9529,0.927
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.8837,0.8802,0.882
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.8739,0.6823,0.7663
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.457,0.5784,0.5106
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.917,0.5737,0.7058
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.893,0.9328,0.9125
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.8623,0.8662,0.8643
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.5362,0.9263,0.6793
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.9229,0.6374,0.7541
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.8948,0.763,0.8237
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,0.5049,0.6325,0.5615
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.7186,0.9156,0.8052
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.8986,0.9429,0.9202
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.1409,0.2446,0.1788
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.887,0.9317,0.9088
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.6853,0.9128,0.7828
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.5496,0.786,0.6469
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.1815,0.2363,0.2053
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.8784,0.9494,0.9125
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.7406,0.9309,0.8249
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.8801,0.9404,0.9093
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.7186,0.9181,0.8062
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.7307,0.7861,0.7574
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.9097,0.9532,0.9309
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.7702,0.9397,0.8465
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.1748,0.2902,0.2182
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.4794,0.7803,0.5939
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.7839,0.93,0.8507
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.8921,0.9017,0.8969
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.938,0.9472,0.9426
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.7927,0.936,0.8584
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.2195,0.3063,0.2557
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.5464,0.7363,0.6272
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.7621,0.9084,0.8289
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.9058,0.9127,0.9092
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.149,0.2692,0.1918
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.7683,0.9381,0.8447
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.8761,0.9105,0.893
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.6978,0.7421,0.7193
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.8811,0.9256,0.9028
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.7415,0.9239,0.8227
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.7732,0.9419,0.8493
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.9047,0.9501,0.9269
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.2142,0.2901,0.2465
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.7921,0.6844,0.7343
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.757,0.9186,0.83
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.8862,0.9234,0.9044
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.9148,0.9579,0.9358
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.1325,0.2758,0.179
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.7641,0.9451,0.845
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.6521,0.7793,0.71
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.731,0.9383,0.8218
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.8887,0.9519,0.9192
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.6595,0.927,0.7707
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.8613,0.9376,0.8978
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.7914,0.9421,0.8602
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.8145,0.8636,0.8383
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.5832,0.7404,0.6525
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.8386,0.8745,0.8562
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.5513,0.9536,0.6986
