composer,title,split,performer,model,recording,p_f,r_f,f_f
Chopin,Scherzos_31,train,LinTami06M,oaf,disklavier,0.9429,0.8068,0.8696
Chopin,Scherzos_31,train,LinTami06M,T5,disklavier,0.6563,0.6474,0.6518
Chopin,Scherzos_31,train,LuoJ12M,T5,maestro,0.5942,0.9604,0.7342
Chopin,Scherzos_31,train,LuoJ12M,oaf,maestro,0.9178,0.9444,0.9309
Chopin,Scherzos_31,train,LuoJ12M,kong,maestro,0.9236,0.9773,0.9497
Chopin,Scherzos_31,train,LuoJ12M,T5,disklavier,0.5955,0.6804,0.6351
Chopin,Scherzos_31,train,LuoJ12M,kong,disklavier,0.9206,0.8698,0.8944
Chopin,Scherzos_31,train,LuoJ12M,oaf,disklavier,0.4404,0.3916,0.4146
Chopin,Scherzos_31,train,SunD04M,T5,maestro,0.7499,0.9436,0.8357
Chopin,Scherzos_31,train,SunD04M,kong,maestro,0.9153,0.9579,0.9361
Chopin,Scherzos_31,train,SunD04M,oaf,maestro,0.9033,0.9332,0.918
Chopin,Scherzos_31,train,SunD04M,oaf,disklavier,0.9224,0.8187,0.8674
Chopin,Scherzos_31,train,SunD04M,T5,disklavier,0.4237,0.6032,0.4977
Chopin,Scherzos_31,train,SunD04M,kong,disklavier,0.8927,0.8428,0.8671
Chopin,Scherzos_31,train,TongB04M,kong,maestro,0.9217,0.9783,0.9491
Chopin,Scherzos_31,train,TongB04M,oaf,maestro,0.9199,0.9449,0.9323
Chopin,Scherzos_31,train,TongB04M,T5,maestro,0.6272,0.9557,0.7573
Chopin,Scherzos_31,train,TongB04M,T5,disklavier,0.4278,0.6603,0.5192
Chopin,Scherzos_31,train,TongB04M,oaf,disklavier,0.9524,0.8368,0.8908
Chopin,Scherzos_31,train,TongB04M,kong,disklavier,0.9123,0.8726,0.892
Chopin,Scherzos_31,train,TuanS05M,oaf,maestro,0.8886,0.929,0.9084
Chopin,Scherzos_31,train,TuanS05M,T5,maestro,0.7172,0.9713,0.8251
Chopin,Scherzos_31,train,TuanS05M,kong,maestro,0.9296,0.9822,0.9552
Chopin,Scherzos_31,train,TuanS05M,T5,disklavier,0.4972,0.6905,0.5781
Chopin,Scherzos_31,train,TuanS05M,kong,disklavier,0.9051,0.9114,0.9082
Chopin,Scherzos_31,train,TuanS05M,oaf,disklavier,0.9382,0.8816,0.909
Chopin,Scherzos_31,train,ZhangW04M,kong,maestro,0.9004,0.9688,0.9333
Chopin,Scherzos_31,train,ZhangW04M,oaf,maestro,0.8871,0.9428,0.9141
Chopin,Scherzos_31,train,ZhangW04M,T5,maestro,0.7628,0.9673,0.8529
Chopin,Scherzos_31,train,ZhangW04M,oaf,disklavier,0.9318,0.7912,0.8557
Chopin,Scherzos_31,train,ZhangW04M,T5,disklavier,0.4674,0.6473,0.5429
Chopin,Scherzos_31,train,ZhangW04M,kong,disklavier,0.8909,0.8198,0.8538
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,maestro,0.9449,0.947,0.946
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,maestro,0.6281,0.9402,0.7531
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,maestro,0.9458,0.9048,0.9249
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,oaf,disklavier,0.9748,0.6519,0.7813
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,kong,disklavier,0.9186,0.7559,0.8293
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,Kleisen11M,T5,disklavier,0.4363,0.6213,0.5126
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,maestro,0.6108,0.9499,0.7435
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,maestro,0.9419,0.8914,0.9159
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,maestro,0.9193,0.9584,0.9384
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,T5,disklavier,0.517,0.8244,0.6355
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,oaf,disklavier,0.9567,0.8128,0.8789
Debussy,Images_Book_1_1_Reflets_dans_lEau,train,ParkJH13M,kong,disklavier,0.9553,0.8654,0.9081
Glinka,The_Lark,train,Denisova10M,kong,maestro,0.9444,0.9596,0.9519
Glinka,The_Lark,train,Denisova10M,T5,maestro,0.7294,0.9861,0.8385
Glinka,The_Lark,train,Denisova10M,oaf,maestro,0.9475,0.9145,0.9307
Glinka,The_Lark,train,Denisova10M,kong,disklavier,0.9572,0.9033,0.9295
Glinka,The_Lark,train,Denisova10M,oaf,disklavier,0.9705,0.8091,0.8825
Glinka,The_Lark,train,Denisova10M,T5,disklavier,0.6672,0.8516,0.7482
Glinka,The_Lark,train,Kleisen07M,kong,maestro,0.9667,0.8859,0.9245
Glinka,The_Lark,train,Kleisen07M,T5,maestro,0.6689,0.9594,0.7882
Glinka,The_Lark,train,Kleisen07M,oaf,maestro,0.9464,0.8538,0.8977
Glinka,The_Lark,train,Kleisen07M,T5,disklavier,0.5906,0.6346,0.6118
Glinka,The_Lark,train,Kleisen07M,oaf,disklavier,0.9776,0.6566,0.7856
Glinka,The_Lark,train,Kleisen07M,kong,disklavier,0.9567,0.7967,0.8694
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,T5,maestro,0.4956,0.956,0.6528
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,oaf,maestro,0.7781,0.9538,0.8571
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,kong,maestro,0.8898,0.9673,0.9269
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,oaf,disklavier,0.7418,0.7177,0.7295
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,kong,disklavier,0.1577,0.1339,0.1448
Haydn,Keyboard_Sonatas_50-1,train,GalantM02M,T5,disklavier,0.0916,0.1193,0.1037
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,kong,maestro,0.8546,0.9357,0.8933
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,T5,maestro,0.5072,0.9461,0.6604
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,oaf,maestro,0.7806,0.943,0.8541
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,oaf,disklavier,0.6755,0.7856,0.7264
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,kong,disklavier,0.8264,0.8721,0.8486
Haydn,Keyboard_Sonatas_50-1,train,HamSY02M,T5,disklavier,0.4359,0.7604,0.5542
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,oaf,maestro,0.7527,0.9202,0.8281
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,T5,maestro,0.5372,0.9526,0.687
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,kong,maestro,0.8619,0.9579,0.9074
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,kong,disklavier,0.8688,0.7749,0.8192
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,T5,disklavier,0.4709,0.6455,0.5445
Haydn,Keyboard_Sonatas_50-1,train,Huang05M,oaf,disklavier,0.7351,0.7263,0.7307
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,T5,maestro,0.5048,0.9359,0.6559
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,oaf,maestro,0.8256,0.9531,0.8847
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,kong,maestro,0.9226,0.9641,0.9429
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,oaf,disklavier,0.8093,0.8669,0.8371
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,kong,disklavier,0.88,0.8902,0.885
Haydn,Keyboard_Sonatas_50-1,train,JeonH03M,T5,disklavier,0.4387,0.7681,0.5584
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,oaf,maestro,0.7675,0.8617,0.8119
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,T5,maestro,0.5073,0.9238,0.655
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,kong,maestro,0.8626,0.9524,0.9053
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,oaf,disklavier,0.7406,0.6212,0.6757
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,kong,disklavier,0.8753,0.6545,0.7489
Haydn,Keyboard_Sonatas_50-1,train,KARYAG06M,T5,disklavier,0.4396,0.5281,0.4798
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,oaf,maestro,0.8069,0.9481,0.8718
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,kong,maestro,0.8588,0.9631,0.908
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,T5,maestro,0.5651,0.9322,0.7036
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,oaf,disklavier,0.7907,0.9095,0.846
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,T5,disklavier,0.5433,0.7889,0.6434
Haydn,Keyboard_Sonatas_50-1,train,Shi07M,kong,disklavier,0.8818,0.9305,0.9055
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,oaf,maestro,0.7562,0.938,0.8373
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,T5,maestro,0.5707,0.952,0.7136
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,kong,maestro,0.9,0.9507,0.9247
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,T5,disklavier,0.6152,0.7711,0.6844
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,kong,disklavier,0.8429,0.8525,0.8477
Haydn,Keyboard_Sonatas_50-1,train,YoungS02M,oaf,disklavier,0.7264,0.8364,0.7775
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,kong,maestro,0.9176,0.9655,0.9409
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,oaf,maestro,0.9052,0.9273,0.9161
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,T5,maestro,0.7271,0.9539,0.8252
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,oaf,disklavier,0.9139,0.7479,0.8226
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,kong,disklavier,0.828,0.8421,0.835
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,BuiJL03M,T5,disklavier,0.764,0.6295,0.6903
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,kong,maestro,0.8845,0.9681,0.9244
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,T5,maestro,0.6443,0.8788,0.7435
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,oaf,maestro,0.8839,0.9234,0.9032
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,oaf,disklavier,0.8886,0.817,0.8513
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,kong,disklavier,0.811,0.9207,0.8624
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LeungR04M,T5,disklavier,0.579,0.7792,0.6644
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,oaf,maestro,0.8632,0.8812,0.8721
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,T5,maestro,0.6987,0.9121,0.7913
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,kong,maestro,0.8785,0.9496,0.9127
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,kong,disklavier,0.7142,0.8625,0.7814
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,oaf,disklavier,0.8199,0.7203,0.7669
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Levitsky06M,T5,disklavier,0.4988,0.6293,0.5565
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,oaf,maestro,0.8959,0.8632,0.8792
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,kong,maestro,0.912,0.9484,0.9298
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,T5,maestro,0.906,0.9189,0.9124
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,oaf,disklavier,0.6778,0.5671,0.6175
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,kong,disklavier,0.6641,0.6909,0.6772
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Lin07M,T5,disklavier,0.5526,0.5187,0.5351
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,kong,maestro,0.9195,0.9605,0.9396
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,oaf,maestro,0.9085,0.9293,0.9188
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,T5,maestro,0.8188,0.9521,0.8804
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,kong,disklavier,0.8611,0.9022,0.8812
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,T5,disklavier,0.7244,0.7529,0.7384
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuC05M,oaf,disklavier,0.9087,0.8356,0.8706
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,kong,maestro,0.923,0.9743,0.9479
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,oaf,maestro,0.9146,0.9325,0.9235
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,T5,maestro,0.8511,0.7922,0.8206
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,oaf,disklavier,0.9074,0.6649,0.7675
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,T5,disklavier,0.5381,0.7112,0.6126
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,LiuY03M,kong,disklavier,0.8395,0.8802,0.8593
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,kong,maestro,0.8796,0.9441,0.9107
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,T5,maestro,0.793,0.8984,0.8424
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,oaf,maestro,0.8618,0.8864,0.8739
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,T5,disklavier,0.5174,0.6475,0.5752
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,kong,disklavier,0.7291,0.8707,0.7936
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,MunA08M,oaf,disklavier,0.8725,0.7923,0.8305
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,kong,maestro,0.9443,0.9736,0.9587
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,T5,maestro,0.6171,0.9556,0.7499
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,oaf,maestro,0.9299,0.936,0.9329
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,T5,disklavier,0.7757,0.6149,0.686
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,oaf,disklavier,0.9365,0.7492,0.8324
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,VuV06M,kong,disklavier,0.8958,0.8506,0.8726
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,kong,maestro,0.2154,0.2248,0.22
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,T5,maestro,0.1948,0.2306,0.2112
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,oaf,maestro,0.2112,0.2126,0.2119
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,T5,disklavier,0.6876,0.7236,0.7051
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,kong,disklavier,0.8027,0.8868,0.8426
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,Yang05M,oaf,disklavier,0.8929,0.7853,0.8357
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,oaf,maestro,0.8911,0.7887,0.8368
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,kong,maestro,0.8627,0.9352,0.8975
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,T5,maestro,0.6466,0.9272,0.7619
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,oaf,disklavier,0.9098,0.5943,0.719
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,kong,disklavier,0.9071,0.8073,0.8543
Liszt,Gran_Etudes_de_Paganini_2_La_campanella,train,ZhangH07M,T5,disklavier,0.6877,0.5832,0.6312
Mozart,Piano_Sonatas_12-1,train,MunA03M,T5,maestro,0.6761,0.961,0.7937
Mozart,Piano_Sonatas_12-1,train,MunA03M,oaf,maestro,0.8278,0.965,0.8912
Mozart,Piano_Sonatas_12-1,train,MunA03M,kong,maestro,0.8918,0.9689,0.9287
Mozart,Piano_Sonatas_12-1,train,MunA03M,kong,disklavier,0.9053,0.8708,0.8877
Mozart,Piano_Sonatas_12-1,train,MunA03M,oaf,disklavier,0.8241,0.8634,0.8433
Mozart,Piano_Sonatas_12-1,train,MunA03M,T5,disklavier,0.5476,0.7201,0.6221
Mozart,Piano_Sonatas_12-1,train,WuuE02M,oaf,maestro,0.8389,0.9508,0.8914
Mozart,Piano_Sonatas_12-1,train,WuuE02M,kong,maestro,0.9213,0.9692,0.9446
Mozart,Piano_Sonatas_12-1,train,WuuE02M,T5,maestro,0.7278,0.9572,0.8269
Mozart,Piano_Sonatas_12-1,train,WuuE02M,kong,disklavier,0.8799,0.8937,0.8867
Mozart,Piano_Sonatas_12-1,train,WuuE02M,T5,disklavier,0.5379,0.7802,0.6368
Mozart,Piano_Sonatas_12-1,train,WuuE02M,oaf,disklavier,0.8117,0.8823,0.8455
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,kong,maestro,0.6072,0.6316,0.6191
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,oaf,maestro,0.622,0.6092,0.6155
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,T5,maestro,0.4642,0.6481,0.541
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,oaf,disklavier,0.9671,0.8468,0.9029
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,T5,disklavier,0.6779,0.8447,0.7522
Rachmaninoff,Preludes_op_23_4,train,ChenGuang12M,kong,disklavier,0.9397,0.9087,0.924
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,oaf,maestro,0.9652,0.9556,0.9604
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,T5,maestro,0.8576,0.988,0.9182
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,kong,maestro,0.9565,0.9867,0.9714
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,kong,disklavier,0.25,0.2286,0.2388
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,oaf,disklavier,0.2602,0.2195,0.2382
Rachmaninoff,Preludes_op_23_4,train,WuuE07M,T5,disklavier,0.1922,0.266,0.2231
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,kong,maestro,0.9424,0.9577,0.95
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,T5,maestro,0.6624,0.9677,0.7864
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,oaf,maestro,0.9265,0.9521,0.9391
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,oaf,disklavier,0.9605,0.8292,0.8901
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,T5,disklavier,0.5488,0.7218,0.6235
Schubert,Impromptu_op.90_D.899_3,train,Hou06M,kong,disklavier,0.9406,0.8453,0.8904
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,oaf,maestro,0.9652,0.9647,0.9649
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,T5,maestro,0.6984,0.9811,0.8159
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,kong,maestro,0.9786,0.9808,0.9797
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,T5,disklavier,0.732,0.8854,0.8014
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,kong,disklavier,0.9523,0.9363,0.9442
Schubert,Impromptu_op.90_D.899_3,train,JeonH06M,oaf,disklavier,0.9778,0.9259,0.9511
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,oaf,maestro,0.9674,0.9703,0.9689
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,T5,maestro,0.8831,0.9857,0.9316
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,kong,maestro,0.9741,0.9774,0.9758
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,oaf,disklavier,0.9807,0.9391,0.9594
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,T5,disklavier,0.6804,0.9058,0.7771
Schubert,Impromptu_op.90_D.899_3,train,Ko08M,kong,disklavier,0.9668,0.9503,0.9585
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,oaf,maestro,0.9524,0.973,0.9626
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,kong,maestro,0.9606,0.9797,0.97
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,T5,maestro,0.8007,0.9795,0.8811
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,T5,disklavier,0.5086,0.6814,0.5825
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,oaf,disklavier,0.9809,0.7651,0.8597
Schubert,Impromptu_op.90_D.899_3,train,Kociuban10M,kong,disklavier,0.9586,0.8002,0.8723
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,T5,maestro,0.6834,0.9717,0.8024
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,kong,maestro,0.9564,0.9814,0.9687
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,oaf,maestro,0.967,0.933,0.9497
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,T5,disklavier,0.5709,0.8752,0.691
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,kong,disklavier,0.9473,0.931,0.9391
Schubert,Impromptu_op.90_D.899_3,train,LEE_K04M,oaf,disklavier,0.9792,0.8901,0.9325
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,oaf,maestro,0.9607,0.9718,0.9662
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,T5,maestro,0.8663,0.9922,0.925
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,kong,maestro,0.9758,0.9894,0.9825
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,kong,disklavier,0.9539,0.9502,0.952
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,oaf,disklavier,0.976,0.9223,0.9484
Schubert,Impromptu_op.90_D.899_3,train,LeeSH08M,T5,disklavier,0.526,0.8971,0.6631
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,oaf,maestro,0.9438,0.9607,0.9522
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,kong,maestro,0.9624,0.9771,0.9697
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,T5,maestro,0.7356,0.9824,0.8413
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,kong,disklavier,0.9602,0.8621,0.9085
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,T5,disklavier,0.6118,0.785,0.6877
Schubert,Impromptu_op.90_D.899_3,train,Mizumoto07M,oaf,disklavier,0.9753,0.8556,0.9115
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,kong,maestro,0.9558,0.9705,0.9631
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,T5,maestro,0.7865,0.9724,0.8696
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,oaf,maestro,0.947,0.9408,0.9439
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,oaf,disklavier,0.9712,0.8318,0.8961
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,kong,disklavier,0.9491,0.8653,0.9053
Schubert,Impromptu_op.90_D.899_3,train,Woo10M,T5,disklavier,0.6558,0.7618,0.7048
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,T5,maestro,0.782,0.9832,0.8711
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,oaf,maestro,0.9566,0.9624,0.9595
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,kong,maestro,0.966,0.9856,0.9757
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,kong,disklavier,0.6056,0.5651,0.5846
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,T5,disklavier,0.7036,0.8235,0.7588
Schubert,Impromptu_op.90_D.899_3,train,WuuE10M,oaf,disklavier,0.9714,0.9088,0.9391
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,kong,maestro,0.9485,0.9851,0.9664
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,oaf,maestro,0.9309,0.9755,0.9526
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,T5,maestro,0.6805,0.9875,0.8057
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,oaf,disklavier,0.9606,0.7878,0.8657
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,kong,disklavier,0.9571,0.8035,0.8736
Schubert,Impromptu_op.90_D.899_3,train,ZhangW07M,T5,disklavier,0.5897,0.7158,0.6466
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,kong,maestro,0.9671,0.9799,0.9734
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,oaf,maestro,0.9539,0.9726,0.9632
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,T5,maestro,0.7829,0.988,0.8736
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,oaf,disklavier,0.969,0.8914,0.9286
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,T5,disklavier,0.7235,0.8299,0.773
Schubert,Impromptu_op.90_D.899_3,train,ZhaoK10M,kong,disklavier,0.9576,0.9108,0.9336
Scriabin,Sonatas_5,train,FaB05M,oaf,maestro,0.8412,0.7303,0.7818
Scriabin,Sonatas_5,train,FaB05M,kong,maestro,0.8825,0.9192,0.9005
Scriabin,Sonatas_5,train,FaB05M,T5,maestro,0.6237,0.9498,0.7529
Scriabin,Sonatas_5,train,FaB05M,T5,disklavier,0.5303,0.4791,0.5034
Scriabin,Sonatas_5,train,FaB05M,kong,disklavier,0.9037,0.572,0.7006
Scriabin,Sonatas_5,train,FaB05M,oaf,disklavier,0.9428,0.5064,0.6589
Scriabin,Sonatas_5,train,GarritsonL06M,oaf,maestro,0.9009,0.8436,0.8713
Scriabin,Sonatas_5,train,GarritsonL06M,kong,maestro,0.8984,0.9199,0.909
Scriabin,Sonatas_5,train,GarritsonL06M,T5,maestro,0.6276,0.8998,0.7395
Scriabin,Sonatas_5,train,GarritsonL06M,kong,disklavier,0.8981,0.8117,0.8527
Scriabin,Sonatas_5,train,GarritsonL06M,oaf,disklavier,0.9471,0.7574,0.8417
Scriabin,Sonatas_5,train,GarritsonL06M,T5,disklavier,0.5386,0.7284,0.6193
Scriabin,Sonatas_5,train,Ko07M,T5,maestro,0.7704,0.8905,0.8261
Scriabin,Sonatas_5,train,Ko07M,kong,maestro,0.8974,0.909,0.9032
Scriabin,Sonatas_5,train,Ko07M,oaf,maestro,0.8799,0.8361,0.8574
Scriabin,Sonatas_5,train,Ko07M,oaf,disklavier,0.9286,0.8179,0.8697
